"BehaviorSpace results (NetLogo 6.2.0)"
"business_investor_class_18.nlogo"
"get-probabilities"
"10/27/2021 23:35:30:308 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-high-profit-high-risk","turtle-coloring-mode","p-low-profit-low-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","p-hplr","p-hphr","p-lplr","p-lphr","p-same"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.6875","0.6","0.03508771929824561","0","0.5466666666666666"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","23","0.6111111111111112","0.0913978494623656","0.03217821782178218","0","0.928695652173913"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.8","0.4583333333333333","0.012658227848101266","0","0.72"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.7692307692307693","0.5357142857142857","0.041666666666666664","0","0.72"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","12","0.8","0.11904761904761904","0.02459016393442623","0","0.8933333333333333"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","9","0.9375","0.12","0.012578616352201259","0","0.8977777777777778"
"10","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.7368421052631579","0.42857142857142855","0.046511627906976744","0","0.64"
"19","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.8461538461538461","0.5","0.019230769230769232","0","0.6933333333333334"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","24","0.6111111111111112","0.08629441624365482","0.031026252983293555","0","0.9316666666666666"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.6666666666666666","0.3235294117647059","0.016666666666666666","0","0.7066666666666667"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.7058823529411765","0.43478260869565216","0.03333333333333333","0","0.68"
"18","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.6111111111111112","0.6206896551724138","0.02631578947368421","0","0.69"
"6","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.782608695652174","0.21666666666666667","0.0625","0","0.7466666666666667"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","10","0.9375","0.12727272727272726","0.017045454545454544","0","0.9"
"9","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.6666666666666666","0.3333333333333333","0.011235955056179775","0","0.73"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.7391304347826086","0.5714285714285714","0.0196078431372549","0","0.5466666666666666"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.6","0.45161290322580644","0.07142857142857142","0","0.66"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.5625","0.5652173913043478","0.025","0","0.76"
"20","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.8823529411764706","0.4230769230769231","0.018518518518518517","0","0.64"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","13","0.8","0.10869565217391304","0.026615969581749048","0","0.8984615384615384"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.8947368421052632","0.30612244897959184","0.056451612903225805","0","0.7771428571428571"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.6875","0.5384615384615384","0.0375","0","0.65"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.7692307692307693","0.4411764705882353","0.054945054945054944","0","0.76"
"16","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.7777777777777778","0.42857142857142855","0.04054054054054054","0","0.68"
"17","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.6470588235294118","0.40625","0.04938271604938271","0","0.72"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","11","0.9375","0.11666666666666667","0.015463917525773196","0","0.9090909090909091"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.8","0.4074074074074074","0.01020408163265306","0","0.776"
"21","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","0","0","0","0","0","0"
"10","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.7368421052631579","0.3877551020408163","0.03636363636363636","0","0.704"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.7058823529411765","0.37037037037037035","0.0379746835443038","0","0.75"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","12","0.9375","0.1076923076923077","0.014150943396226415","0","0.9166666666666666"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.8947368421052632","0.2909090909090909","0.06382978723404255","0","0.79"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","14","0.8","0.09900990099009901","0.024822695035460994","0","0.9057142857142857"
"21","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.7142857142857143","0.6666666666666666","0.1111111111111111","0","0.12"
"9","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.6666666666666666","0.29411764705882354","0.02654867256637168","0","0.768"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","13","0.9375","0.1","0.017391304347826087","0","0.92"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.6666666666666666","0.2682926829268293","0.012195121951219513","0","0.78"
"18","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.6111111111111112","0.5625","0.020618556701030927","0","0.752"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.7692307692307693","0.3902439024390244","0.05555555555555555","0","0.7866666666666666"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.6875","0.4772727272727273","0.038834951456310676","0","0.712"
"19","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.8461538461538461","0.4230769230769231","0.04285714285714286","0","0.75"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.6","0.39473684210526316","0.06818181818181818","0","0.712"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.5882352941176471","0.5","0.020202020202020204","0","0.8"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.7391304347826086","0.5161290322580645","0.014705882352941176","0","0.66"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.8","0.3548387096774194","0.017094017094017096","0","0.8066666666666666"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","9","0.8947368421052632","0.27419354838709675","0.06329113924050633","0","0.8044444444444444"
