"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business_investor_class_18.nlogo"
"get-probabilities"
"10/21/2025 22:01:06:012 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-high-profit-high-risk","turtle-coloring-mode","p-low-profit-low-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","p-hplr","p-hphr","p-lplr","p-lphr","p-same"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.9473684210526315","0.17647058823529413","0.01694915254237288","0","0.8514285714285714"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.9130434782608695","0.16666666666666666","0.03937007874015748","0","0.8"
"10","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.8","0.2571428571428571","0.10606060606060606","0","0.68"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.8888888888888888","0.24444444444444444","0.072992700729927","0","0.7885714285714286"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.7894736842105263","0.3684210526315789","0.03937007874015748","0","0.8057142857142857"
"6","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.8823529411764706","0.3225806451612903","0.0379746835443038","0","0.776"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.8","0.25","0.018867924528301886","0","0.776"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.9411764705882353","0.15873015873015872","0.0891089108910891","0","0.7666666666666667"
"9","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.7142857142857143","0.38235294117647056","0.02040816326530612","0","0.8"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.7142857142857143","0.5","0.06086956521739131","0","0.7466666666666667"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.7058823529411765","0.3617021276595745","0.05555555555555555","0","0.7885714285714286"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.8888888888888888","0.2765957446808511","0.040983606557377046","0","0.7733333333333333"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.7391304347826086","0.2631578947368421","0.022556390977443608","0","0.85"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.7894736842105263","0.32558139534883723","0.04195804195804196","0","0.825"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.7368421052631579","0.34285714285714286","0.03816793893129771","0","0.8228571428571428"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.9130434782608695","0.14754098360655737","0.04861111111111111","0","0.815"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.9473684210526315","0.15789473684210525","0.014814814814814815","0","0.87"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.7222222222222222","0.5217391304347826","0.02040816326530612","0","0.784"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.8888888888888888","0.20754716981132076","0.07096774193548387","0","0.81"
"10","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.8095238095238095","0.20454545454545456","0.10975609756097561","0","0.72"
"6","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.8823529411764706","0.2702702702702703","0.031914893617021274","0","0.8133333333333334"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.8","0.2127659574468085","0.0234375","0","0.8066666666666666"
"9","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.7142857142857143","0.34210526315789475","0.02654867256637168","0","0.8228571428571428"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.7058823529411765","0.32727272727272727","0.06134969325153374","0","0.8"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.9411764705882353","0.13513513513513514","0.07692307692307693","0","0.8"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","9","0.7894736842105263","0.2857142857142857","0.0440251572327044","0","0.84"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.8888888888888888","0.2777777777777778","0.03496503496503497","0","0.7942857142857143"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.7142857142857143","0.42105263157894735","0.05263157894736842","0","0.7828571428571428"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.7368421052631579","0.2926829268292683","0.04054054054054054","0","0.84"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","9","0.9166666666666666","0.13043478260869565","0.050314465408805034","0","0.8266666666666667"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.8","0.18181818181818182","0.02","0","0.8342857142857143"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","9","0.8888888888888888","0.1774193548387097","0.06936416184971098","0","0.8266666666666667"
"10","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.8095238095238095","0.16363636363636364","0.09375","0","0.7666666666666667"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","9","0.7058823529411765","0.28125","0.06111111111111111","0","0.8177777777777778"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","9","0.7391304347826086","0.22727272727272727","0.02027027027027027","0","0.8666666666666667"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","9","0.9473684210526315","0.14285714285714285","0.013157894736842105","0","0.8844444444444445"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.8888888888888888","0.2542372881355932","0.04242424242424243","0","0.81"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.9411764705882353","0.11627906976744186","0.08270676691729323","0","0.815"
"6","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.8823529411764706","0.23255813953488372","0.027522935779816515","0","0.84"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","10","0.7894736842105263","0.25","0.05747126436781609","0","0.844"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","9","0.7368421052631579","0.25","0.04242424242424243","0","0.8533333333333334"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.7142857142857143","0.36363636363636365","0.046357615894039736","0","0.81"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.7222222222222222","0.48","0.02564102564102564","0","0.8133333333333334"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","10","0.9166666666666666","0.11688311688311688","0.045714285714285714","0","0.844"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","10","0.8888888888888888","0.16666666666666666","0.06282722513089005","0","0.84"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","10","0.7058823529411765","0.2602739726027397","0.061224489795918366","0","0.828"
