"BehaviorSpace results (NetLogo 6.1.0)"
"business_investor_class_18.nlogo"
"vary-probabilities"
"10/21/2019 22:58:03:924 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-low-profit-low-risk","turtle-coloring-mode","p-high-profit-high-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles"
"139","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","134323.5566765106","76907.89832824818"
"147","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","113681.98163185595","106994.26497866579"
"146","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","176135.8936078622","185219.1762856365"
"140","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","124963.00459429648","162256.89092745876"
"115","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","154382.92965811395","158031.22537269362"
"145","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","165712.50991712217","127882.58942591763"
"150","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","175549.4954836611","119226.53531619388"
"151","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","139635.97904950808","90806.86546479478"
"152","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","154884.65223938078","126182.20988682835"
"155","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","144230.94019462922","115290.23772433393"
"154","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","226660.88753163785","234156.95975022233"
"157","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","111559.22707984532","80005.25333132008"
"149","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","127760.67585242837","129114.80118051956"
"153","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","181127.68925086636","198332.37090783182"
"160","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","192740.9189240472","151077.26174552145"
"159","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","169157.36473213034","156403.3084023084"
"158","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","165608.42275779153","160838.45841671262"
"156","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","166128.1527380456","149238.4469796614"
"166","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","140715.96865697557","130110.02987650894"
"123","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","103821.82526855954","85533.73522735956"
"169","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","179811.6884618153","150740.8992382883"
"168","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","149470.68416090473","127897.27138667343"
"167","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","130260.30522156617","105409.52842599577"
"134","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","191420.31786781005","140504.17894293152"
"161","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","130445.00905370392","102227.17750099077"
"137","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","156763.3055914959","146246.76038773375"
"172","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","179946.14542206042","172306.42744534576"
"162","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","149054.03623704155","158581.82809232443"
