"BehaviorSpace results (NetLogo 5.3.1)"
"wood_hoopoe_strategies.nlogo"
"optimize"
"04/06/2017 00:11:07:861 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","0","0"
"[run number]","x2","x1","p-vacant","strategy","[step]","age-diff","foray-timing","group-dist-1","group-dist-2","group-dist-3","performance"
"146","0.01","0","0.15","""expected reproduction""","264","1","0","1","1","0","1.6"
"158","0.01","0","0.16","""expected reproduction""","264","1","0","1","0","0","1.5"
"152","0.01","0","0.16","""expected reproduction""","264","1","0","1","1","0","1.6"
"153","0.01","0","0.16","""expected reproduction""","264","1","0","1","0","0","1.5"
"161","0.01","0","0.17","""expected reproduction""","264","1","0","1","0","0","1.5"
"155","0.01","0","0.16","""expected reproduction""","264","1","0","1","1","0","1.6"
"163","0.01","0","0.17","""expected reproduction""","264","1","0","1","0","0","1.5"
"159","0.01","0","0.16","""expected reproduction""","264","1","0","1","0","0","1.5"
"162","0.01","0","0.17","""expected reproduction""","264","1","0","1","0","0","1.5"
"165","0.01","0","0.17","""expected reproduction""","264","1","0","1","0","0","1.5"
"166","0.01","0","0.17","""expected reproduction""","264","1","0","1","0","0","1.5"
"154","0.01","0","0.16","""expected reproduction""","264","1","0","1","1","0","1.6"
"167","0.01","0","0.17","""expected reproduction""","264","1","0","1","0","0","1.5"
"168","0.01","0","0.17","""expected reproduction""","264","1","0","1","0","0","1.5"
"160","0.01","0","0.16","""expected reproduction""","264","1","0","1","0","0","1.5"
"169","0.01","0","0.17","""expected reproduction""","264","1","0","1","1","0","1.6"
"164","0.01","0","0.17","""expected reproduction""","264","1","0","1","1","0","1.6"
"171","0.01","0","0.18","""expected reproduction""","264","1","0","1","1","0","1.6"
"174","0.01","0","0.18","""expected reproduction""","264","1","0","1","1","0","1.6"
"172","0.01","0","0.18","""expected reproduction""","264","1","0","1","1","0","1.6"
"170","0.01","0","0.17","""expected reproduction""","264","1","0","1","1","0","1.6"
"177","0.01","0","0.18","""expected reproduction""","264","1","0","1","1","0","1.6"
"176","0.01","0","0.18","""expected reproduction""","264","1","0","1","1","0","1.6"
"175","0.01","0","0.18","""expected reproduction""","264","1","0","1","0","0","1.5"
"178","0.01","0","0.18","""expected reproduction""","264","1","0","1","1","0","1.6"
"179","0.01","0","0.18","""expected reproduction""","264","1","0","1","1","0","1.6"
"183","0.01","0","0.19","""expected reproduction""","264","1","0","1","0","0","1.5"
"180","0.01","0","0.18","""expected reproduction""","264","1","0","1","1","0","1.6"
"182","0.01","0","0.19","""expected reproduction""","264","1","0","1","0","0","1.5"
"173","0.01","0","0.18","""expected reproduction""","264","1","0","1","1","0","1.6"
"181","0.01","0","0.19","""expected reproduction""","264","1","0","1","1","0","1.6"
"186","0.01","0","0.19","""expected reproduction""","264","1","0","1","1","0","1.6"
"185","0.01","0","0.19","""expected reproduction""","264","1","0","1","1","0","1.6"
"191","0.01","0","0.2","""expected reproduction""","264","1","0","1","1","0","1.6"
"184","0.01","0","0.19","""expected reproduction""","264","1","0","1","1","0","1.6"
"190","0.01","0","0.19","""expected reproduction""","264","1","0","1","1","1","1.7"
"187","0.01","0","0.19","""expected reproduction""","264","1","0","1","0","0","1.5"
"188","0.01","0","0.19","""expected reproduction""","264","1","0","1","0","0","1.5"
"192","0.01","0","0.2","""expected reproduction""","264","1","0","1","0","0","1.5"
"194","0.01","0","0.2","""expected reproduction""","264","1","0","1","1","0","1.6"
"189","0.01","0","0.19","""expected reproduction""","264","1","0","1","1","0","1.6"
"195","0.01","0","0.2","""expected reproduction""","264","1","0","1","1","1","1.7"
"196","0.01","0","0.2","""expected reproduction""","264","1","0","1","0","0","1.5"
"198","0.01","0","0.2","""expected reproduction""","264","1","0","1","0","0","1.5"
"197","0.01","0","0.2","""expected reproduction""","264","1","0","1","0","0","1.5"
"201","0.01","0","0.21","""expected reproduction""","264","1","0","1","0","0","1.5"
"199","0.01","0","0.2","""expected reproduction""","264","1","0","1","0","0","1.5"
"193","0.01","0","0.2","""expected reproduction""","264","1","0","1","1","0","1.6"
"200","0.01","0","0.2","""expected reproduction""","264","1","0","1","0","0","1.5"
"204","0.01","0","0.21","""expected reproduction""","264","1","0","1","1","0","1.6"
"203","0.01","0","0.21","""expected reproduction""","264","1","0","1","0","0","1.5"
"205","0.01","0","0.21","""expected reproduction""","264","1","0","1","0","0","1.5"
"206","0.01","0","0.21","""expected reproduction""","264","1","0","1","1","0","1.6"
"202","0.01","0","0.21","""expected reproduction""","264","1","0","1","1","0","1.6"
"210","0.01","0","0.21","""expected reproduction""","264","1","0","1","1","1","1.7"
"208","0.01","0","0.21","""expected reproduction""","264","1","0","1","0","0","1.5"
"211","0.01","0","0.22","""expected reproduction""","264","1","0","1","0","0","1.5"
"212","0.01","0","0.22","""expected reproduction""","264","1","0","1","1","1","1.7"
"209","0.01","0","0.21","""expected reproduction""","264","1","0","1","0","0","1.5"
"207","0.01","0","0.21","""expected reproduction""","264","1","0","1","1","0","1.6"
"216","0.01","0","0.22","""expected reproduction""","264","1","0","1","0","0","1.5"
"213","0.01","0","0.22","""expected reproduction""","264","1","0","1","1","0","1.6"
"218","0.01","0","0.22","""expected reproduction""","264","1","0","1","1","0","1.6"
"214","0.01","0","0.22","""expected reproduction""","264","1","0","1","0","0","1.5"
"217","0.01","0","0.22","""expected reproduction""","264","1","0","1","1","0","1.6"
"215","0.01","0","0.22","""expected reproduction""","264","1","0","1","0","0","1.5"
"219","0.01","0","0.22","""expected reproduction""","264","1","0","1","0","0","1.5"
"222","0.01","0","0.23","""expected reproduction""","264","1","0","1","0","0","1.5"
"221","0.01","0","0.23","""expected reproduction""","264","1","0","1","1","0","1.6"
"224","0.01","0","0.23","""expected reproduction""","264","1","0","1","1","0","1.6"
"223","0.01","0","0.23","""expected reproduction""","264","1","0","1","0","0","1.5"
"225","0.01","0","0.23","""expected reproduction""","264","1","0","1","0","0","1.5"
"220","0.01","0","0.22","""expected reproduction""","264","1","0","1","1","1","1.7"
"228","0.01","0","0.23","""expected reproduction""","264","1","0","1","0","0","1.5"
"229","0.01","0","0.23","""expected reproduction""","264","1","0","1","0","0","1.5"
"227","0.01","0","0.23","""expected reproduction""","264","1","0","1","0","0","1.5"
"230","0.01","0","0.23","""expected reproduction""","264","1","0","1","0","0","1.5"
"226","0.01","0","0.23","""expected reproduction""","264","1","0","1","1","0","1.6"
"231","0.01","0","0.24","""expected reproduction""","264","1","0","1","1","0","1.6"
"233","0.01","0","0.24","""expected reproduction""","264","1","0","1","0","0","1.5"
"235","0.01","0","0.24","""expected reproduction""","264","1","0","1","0","0","1.5"
"232","0.01","0","0.24","""expected reproduction""","264","1","0","1","0","0","1.5"
"239","0.01","0","0.24","""expected reproduction""","264","1","0","1","1","0","1.6"
"237","0.01","0","0.24","""expected reproduction""","264","1","0","1","0","0","1.5"
"236","0.01","0","0.24","""expected reproduction""","264","1","0","1","0","0","1.5"
"238","0.01","0","0.24","""expected reproduction""","264","1","0","1","1","0","1.6"
"234","0.01","0","0.24","""expected reproduction""","264","1","0","1","1","0","1.6"
"240","0.01","0","0.24","""expected reproduction""","264","1","0","1","0","0","1.5"
"242","0.01","0","0.25","""expected reproduction""","264","1","0","1","0","0","1.5"
"244","0.01","0","0.25","""expected reproduction""","264","1","0","1","1","0","1.6"
"241","0.01","0","0.25","""expected reproduction""","264","1","0","1","0","0","1.5"
"243","0.01","0","0.25","""expected reproduction""","264","1","0","1","0","0","1.5"
"246","0.01","0","0.25","""expected reproduction""","264","1","0","1","0","0","1.5"
"249","0.01","0","0.25","""expected reproduction""","264","1","0","1","1","0","1.6"
"245","0.01","0","0.25","""expected reproduction""","264","1","0","1","0","0","1.5"
"247","0.01","0","0.25","""expected reproduction""","264","1","0","1","0","0","1.5"
"248","0.01","0","0.25","""expected reproduction""","264","1","0","1","1","0","1.6"
"253","0.01","0","0.26","""expected reproduction""","264","1","0","1","1","0","1.6"
"252","0.01","0","0.26","""expected reproduction""","264","1","0","1","0","0","1.5"
"250","0.01","0","0.25","""expected reproduction""","264","1","0","1","0","0","1.5"
"255","0.01","0","0.26","""expected reproduction""","264","1","0","1","0","0","1.5"
"251","0.01","0","0.26","""expected reproduction""","264","1","0","1","0","0","1.5"
"262","0.01","0","0.27","""expected reproduction""","264","1","0","1","0","0","1.5"
"258","0.01","0","0.26","""expected reproduction""","264","1","0","1","1","0","1.6"
"260","0.01","0","0.26","""expected reproduction""","264","1","0","1","0","0","1.5"
"256","0.01","0","0.26","""expected reproduction""","264","1","0","1","0","0","1.5"
"261","0.01","0","0.27","""expected reproduction""","264","1","0","1","0","0","1.5"
"257","0.01","0","0.26","""expected reproduction""","264","1","0","1","0","0","1.5"
"263","0.01","0","0.27","""expected reproduction""","264","1","0","1","0","0","1.5"
"259","0.01","0","0.26","""expected reproduction""","264","1","0","1","1","0","1.6"
"254","0.01","0","0.26","""expected reproduction""","264","1","0","1","0","0","1.5"
"264","0.01","0","0.27","""expected reproduction""","264","1","0","1","1","0","1.6"
"265","0.01","0","0.27","""expected reproduction""","264","1","0","1","1","1","1.7"
"266","0.01","0","0.27","""expected reproduction""","264","1","0","1","0","0","1.5"
"268","0.01","0","0.27","""expected reproduction""","264","1","0","1","0","0","1.5"
"269","0.01","0","0.27","""expected reproduction""","264","1","0","1","0","0","1.5"
"267","0.01","0","0.27","""expected reproduction""","264","1","0","1","0","0","1.5"
"270","0.01","0","0.27","""expected reproduction""","264","1","0","1","0","0","1.5"
"271","0.01","0","0.28","""expected reproduction""","264","1","0","1","0","0","1.5"
"275","0.01","0","0.28","""expected reproduction""","264","1","0","1","0","0","1.5"
"273","0.01","0","0.28","""expected reproduction""","264","1","0","1","0","0","1.5"
"272","0.01","0","0.28","""expected reproduction""","264","1","0","1","0","0","1.5"
"277","0.01","0","0.28","""expected reproduction""","264","1","0","1","0","0","1.5"
"279","0.01","0","0.28","""expected reproduction""","264","1","0","1","0","0","1.5"
"274","0.01","0","0.28","""expected reproduction""","264","1","0","1","1","0","1.6"
"278","0.01","0","0.28","""expected reproduction""","264","1","0","1","0","0","1.5"
"280","0.01","0","0.28","""expected reproduction""","264","1","0","1","0","0","1.5"
"276","0.01","0","0.28","""expected reproduction""","264","1","0","1","0","0","1.5"
"281","0.01","0","0.29","""expected reproduction""","264","1","0","1","0","0","1.5"
"282","0.01","0","0.29","""expected reproduction""","264","1","0","1","1","0","1.6"
"284","0.01","0","0.29","""expected reproduction""","264","1","0","1","0","0","1.5"
"283","0.01","0","0.29","""expected reproduction""","264","1","0","1","0","0","1.5"
"285","0.01","0","0.29","""expected reproduction""","264","1","0","1","0","0","1.5"
"286","0.01","0","0.29","""expected reproduction""","264","1","0","1","1","0","1.6"
"287","0.01","0","0.29","""expected reproduction""","264","1","0","1","1","0","1.6"
"288","0.01","0","0.29","""expected reproduction""","264","1","0","1","0","0","1.5"
"292","0.01","0","0.3","""expected reproduction""","264","1","0","1","1","1","1.7"
"290","0.01","0","0.29","""expected reproduction""","264","1","0","1","0","0","1.5"
"289","0.01","0","0.29","""expected reproduction""","264","1","0","1","1","0","1.6"
"291","0.01","0","0.3","""expected reproduction""","264","1","0","1","0","0","1.5"
"293","0.01","0","0.3","""expected reproduction""","264","1","0","1","1","0","1.6"
"295","0.01","0","0.3","""expected reproduction""","264","1","0","1","1","0","1.6"
"296","0.01","0","0.3","""expected reproduction""","264","1","0","1","0","0","1.5"
"298","0.01","0","0.3","""expected reproduction""","264","1","0","1","0","0","1.5"
"300","0.01","0","0.3","""expected reproduction""","264","1","0","1","0","0","1.5"
"299","0.01","0","0.3","""expected reproduction""","264","1","0","1","1","0","1.6"
"297","0.01","0","0.3","""expected reproduction""","264","1","0","1","0","0","1.5"
"301","0.01","0","0.31","""expected reproduction""","264","1","0","1","1","0","1.6"
"294","0.01","0","0.3","""expected reproduction""","264","1","0","1","0","0","1.5"
"303","0.01","0","0.31","""expected reproduction""","264","1","0","1","0","0","1.5"
"305","0.01","0","0.31","""expected reproduction""","264","1","0","1","0","0","1.5"
"306","0.01","0","0.31","""expected reproduction""","264","1","0","1","0","0","1.5"
"302","0.01","0","0.31","""expected reproduction""","264","1","0","1","0","0","1.5"
"307","0.01","0","0.31","""expected reproduction""","264","1","0","1","0","0","1.5"
"304","0.01","0","0.31","""expected reproduction""","264","1","0","1","0","0","1.5"
"309","0.01","0","0.31","""expected reproduction""","264","1","0","1","0","0","1.5"
"310","0.01","0","0.31","""expected reproduction""","264","1","0","1","1","0","1.6"
"308","0.01","0","0.31","""expected reproduction""","264","1","0","1","1","0","1.6"
"312","0.01","0","0.32","""expected reproduction""","264","1","0","1","1","0","1.6"
"313","0.01","0","0.32","""expected reproduction""","264","1","0","1","0","0","1.5"
"314","0.01","0","0.32","""expected reproduction""","264","1","0","1","1","0","1.6"
"315","0.01","0","0.32","""expected reproduction""","264","1","0","1","0","0","1.5"
"311","0.01","0","0.32","""expected reproduction""","264","1","0","1","0","0","1.5"
"316","0.01","0","0.32","""expected reproduction""","264","1","0","1","0","0","1.5"
"318","0.01","0","0.32","""expected reproduction""","264","1","0","1","0","0","1.5"
