"BehaviorSpace results (NetLogo 6.1.0)"
"wild_dogs.nlogo"
"vary_initialization_pe"
"10/29/2019 00:44:01:307 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","p-extinction","time-to-extinction"
"316","8","1","0.2","0.44","100","60","2","1","0.81","53.82"
"313","8","1","0.2","0.44","100","60","2","1","0.77","56.84"
"309","8","1","0.2","0.44","100","60","2","1","0.66","63.16"
"310","8","1","0.2","0.44","100","60","2","1","0.7","61.76"
"311","8","1","0.2","0.44","100","60","2","1","0.75","59.27"
"315","8","1","0.2","0.44","100","60","2","1","0.71","58.04"
"312","8","1","0.2","0.44","100","60","2","1","0.62","68.69"
"314","8","1","0.2","0.44","100","60","2","1","0.66","69.29"
"317","8","1","0.2","0.44","100","60","2","1","0.67","65.36"
"318","8","1","0.2","0.44","100","60","2","1","0.7","62.08"
"320","8","1","0.2","0.44","100","60","2","1","0.64","64.96"
"319","8","1","0.2","0.44","100","60","2","1","0.62","63.03"
"322","8","1","0.2","0.44","100","60","4","1","0.62","74.92"
"323","8","1","0.2","0.44","100","60","4","1","0.47","77.98"
"325","8","1","0.2","0.44","100","60","4","1","0.56","79.1"
"321","8","1","0.2","0.44","100","60","4","1","0.54","78.32"
"324","8","1","0.2","0.44","100","60","4","1","0.5","79.62"
"326","8","1","0.2","0.44","100","60","4","1","0.59","79.46"
"327","8","1","0.2","0.44","100","60","4","1","0.54","79.64"
"328","8","1","0.2","0.44","100","60","4","1","0.61","78.54"
"330","8","1","0.2","0.44","100","60","4","1","0.57","73.46"
"329","8","1","0.2","0.44","100","60","4","1","0.58","75.14"
"331","8","1","0.2","0.44","100","60","4","1","0.6","74.34"
"335","8","1","0.2","0.44","100","60","4","1","0.62","75.05"
"332","8","1","0.2","0.44","100","60","4","1","0.61","78.96"
"333","8","1","0.2","0.44","100","60","4","1","0.46","83.12"
"334","8","1","0.2","0.44","100","60","4","1","0.59","78.93"
"336","8","1","0.2","0.44","100","60","4","1","0.64","74.62"
"337","8","1","0.2","0.44","100","60","4","1","0.59","74.86"
"339","8","1","0.2","0.44","100","60","4","1","0.64","74.23"
"340","8","1","0.2","0.44","100","60","4","1","0.59","75.56"
"338","8","1","0.2","0.44","100","60","4","1","0.52","80.95"
"342","8","1","0.2","0.44","100","60","6","1","0.55","78.92"
"343","8","1","0.2","0.44","100","60","6","1","0.58","80.25"
"341","8","1","0.2","0.44","100","60","6","1","0.44","83.94"
"345","8","1","0.2","0.44","100","60","6","1","0.55","77.4"
"346","8","1","0.2","0.44","100","60","6","1","0.52","80.8"
"344","8","1","0.2","0.44","100","60","6","1","0.49","79.99"
"347","8","1","0.2","0.44","100","60","6","1","0.58","76.18"
"348","8","1","0.2","0.44","100","60","6","1","0.54","80.26"
"350","8","1","0.2","0.44","100","60","6","1","0.54","80.2"
"351","8","1","0.2","0.44","100","60","6","1","0.54","78.18"
