"BehaviorSpace results (NetLogo 6.1.0)"
"wild_dogs.nlogo"
"vary_meeting_disp_mortality_pe"
"10/29/2019 01:00:55:953 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","p-extinction","time-to-extinction"
"199","10","0.5","0.2","0.2","100","60","5","1","0.26","91.74"
"200","10","0.5","0.2","0.2","100","60","5","1","0.24","91.86"
"201","10","0.5","0.2","0.25","100","60","5","1","0.32","88.68"
"205","10","0.5","0.2","0.25","100","60","5","1","0.45","82.15"
"202","10","0.5","0.2","0.25","100","60","5","1","0.31","91.03"
"203","10","0.5","0.2","0.25","100","60","5","1","0.37","85.25"
"206","10","0.5","0.2","0.25","100","60","5","1","0.42","87.02"
"207","10","0.5","0.2","0.25","100","60","5","1","0.33","88.22"
"209","10","0.5","0.2","0.25","100","60","5","1","0.41","87.74"
"204","10","0.5","0.2","0.25","100","60","5","1","0.34","89.45"
"208","10","0.5","0.2","0.25","100","60","5","1","0.33","87.75"
"213","10","0.5","0.2","0.25","100","60","5","1","0.4","84.72"
"211","10","0.5","0.2","0.25","100","60","5","1","0.35","85.32"
"210","10","0.5","0.2","0.25","100","60","5","1","0.39","87.18"
"212","10","0.5","0.2","0.25","100","60","5","1","0.3","87.91"
"215","10","0.5","0.2","0.25","100","60","5","1","0.47","86.17"
"214","10","0.5","0.2","0.25","100","60","5","1","0.38","88.72"
"218","10","0.5","0.2","0.25","100","60","5","1","0.4","86.13"
"216","10","0.5","0.2","0.25","100","60","5","1","0.3","89.72"
"217","10","0.5","0.2","0.25","100","60","5","1","0.35","86.04"
"219","10","0.5","0.2","0.25","100","60","5","1","0.34","86.99"
"220","10","0.5","0.2","0.25","100","60","5","1","0.34","89.45"
"221","10","0.5","0.2","0.3","100","60","5","1","0.46","83.75"
"222","10","0.5","0.2","0.3","100","60","5","1","0.44","81.14"
"227","10","0.5","0.2","0.3","100","60","5","1","0.57","77.09"
"223","10","0.5","0.2","0.3","100","60","5","1","0.48","84.14"
"228","10","0.5","0.2","0.3","100","60","5","1","0.54","81.94"
"224","10","0.5","0.2","0.3","100","60","5","1","0.45","84.57"
"225","10","0.5","0.2","0.3","100","60","5","1","0.48","81.04"
"226","10","0.5","0.2","0.3","100","60","5","1","0.42","82.53"
"231","10","0.5","0.2","0.3","100","60","5","1","0.54","79.85"
"232","10","0.5","0.2","0.3","100","60","5","1","0.5","81.54"
"229","10","0.5","0.2","0.3","100","60","5","1","0.47","81.56"
"233","10","0.5","0.2","0.3","100","60","5","1","0.54","77.21"
"234","10","0.5","0.2","0.3","100","60","5","1","0.53","79.99"
"230","10","0.5","0.2","0.3","100","60","5","1","0.4","86.08"
"235","10","0.5","0.2","0.3","100","60","5","1","0.49","82.13"
"236","10","0.5","0.2","0.3","100","60","5","1","0.46","82.75"
"238","10","0.5","0.2","0.3","100","60","5","1","0.45","84.33"
"239","10","0.5","0.2","0.3","100","60","5","1","0.46","81"
"237","10","0.5","0.2","0.3","100","60","5","1","0.39","86.44"
"240","10","0.5","0.2","0.3","100","60","5","1","0.45","83.56"
"243","10","0.5","0.2","0.35","100","60","5","1","0.62","76.69"
"242","10","0.5","0.2","0.35","100","60","5","1","0.62","79.37"
"245","10","0.5","0.2","0.35","100","60","5","1","0.55","78.34"
"246","10","0.5","0.2","0.35","100","60","5","1","0.56","76.56"
"241","10","0.5","0.2","0.35","100","60","5","1","0.53","79.01"
"244","10","0.5","0.2","0.35","100","60","5","1","0.54","77.09"
"248","10","0.5","0.2","0.35","100","60","5","1","0.65","75.37"
"251","10","0.5","0.2","0.35","100","60","5","1","0.73","70.09"
"250","10","0.5","0.2","0.35","100","60","5","1","0.56","79.91"
"247","10","0.5","0.2","0.35","100","60","5","1","0.54","82"
"252","10","0.5","0.2","0.35","100","60","5","1","0.62","76.07"
"253","10","0.5","0.2","0.35","100","60","5","1","0.61","75.03"
"254","10","0.5","0.2","0.35","100","60","5","1","0.59","74.57"
"249","10","0.5","0.2","0.35","100","60","5","1","0.5","81.3"
"255","10","0.5","0.2","0.35","100","60","5","1","0.62","75.29"
"258","10","0.5","0.2","0.35","100","60","5","1","0.61","74.8"
"257","10","0.5","0.2","0.35","100","60","5","1","0.6","80.76"
"256","10","0.5","0.2","0.35","100","60","5","1","0.54","77.98"
"259","10","0.5","0.2","0.35","100","60","5","1","0.5","79.56"
"260","10","0.5","0.2","0.35","100","60","5","1","0.63","80.57"
"262","10","0.5","0.2","0.4","100","60","5","1","0.63","71.02"
"261","10","0.5","0.2","0.4","100","60","5","1","0.62","75.72"
"263","10","0.5","0.2","0.4","100","60","5","1","0.68","71.3"
"268","10","0.5","0.2","0.4","100","60","5","1","0.69","72.07"
"267","10","0.5","0.2","0.4","100","60","5","1","0.6","75.06"
"264","10","0.5","0.2","0.4","100","60","5","1","0.59","77.27"
"269","10","0.5","0.2","0.4","100","60","5","1","0.7","69.39"
"266","10","0.5","0.2","0.4","100","60","5","1","0.62","74.88"
"265","10","0.5","0.2","0.4","100","60","5","1","0.58","76.3"
"270","10","0.5","0.2","0.4","100","60","5","1","0.72","73.22"
"273","10","0.5","0.2","0.4","100","60","5","1","0.63","71.99"
"271","10","0.5","0.2","0.4","100","60","5","1","0.66","70.73"
"274","10","0.5","0.2","0.4","100","60","5","1","0.62","76.19"
"272","10","0.5","0.2","0.4","100","60","5","1","0.57","77.81"
"275","10","0.5","0.2","0.4","100","60","5","1","0.69","74.66"
"277","10","0.5","0.2","0.4","100","60","5","1","0.61","73.45"
"278","10","0.5","0.2","0.4","100","60","5","1","0.54","76.3"
"276","10","0.5","0.2","0.4","100","60","5","1","0.53","81.47"
"279","10","0.5","0.2","0.4","100","60","5","1","0.58","76.14"
"280","10","0.5","0.2","0.4","100","60","5","1","0.67","71.48"
"281","10","0.5","0.2","0.45","100","60","5","1","0.74","68.28"
"283","10","0.5","0.2","0.45","100","60","5","1","0.73","69.58"
"284","10","0.5","0.2","0.45","100","60","5","1","0.76","68.35"
"285","10","0.5","0.2","0.45","100","60","5","1","0.64","70.86"
"282","10","0.5","0.2","0.45","100","60","5","1","0.68","77.3"
"287","10","0.5","0.2","0.45","100","60","5","1","0.66","72.34"
"286","10","0.5","0.2","0.45","100","60","5","1","0.6","73.63"
"289","10","0.5","0.2","0.45","100","60","5","1","0.72","69.88"
"288","10","0.5","0.2","0.45","100","60","5","1","0.73","73.38"
"290","10","0.5","0.2","0.45","100","60","5","1","0.64","73.89"
"291","10","0.5","0.2","0.45","100","60","5","1","0.71","70.84"
"293","10","0.5","0.2","0.45","100","60","5","1","0.67","70.66"
"292","10","0.5","0.2","0.45","100","60","5","1","0.72","71.52"
"294","10","0.5","0.2","0.45","100","60","5","1","0.61","72.12"
"296","10","0.5","0.2","0.45","100","60","5","1","0.72","69.08"
"295","10","0.5","0.2","0.45","100","60","5","1","0.67","71.38"
"297","10","0.5","0.2","0.45","100","60","5","1","0.73","70.26"
"298","10","0.5","0.2","0.45","100","60","5","1","0.67","71.43"
"299","10","0.5","0.2","0.45","100","60","5","1","0.65","70.95"
"300","10","0.5","0.2","0.45","100","60","5","1","0.75","71.05"
"301","10","0.5","0.2","0.5","100","60","5","1","0.74","64.12"
"302","10","0.5","0.2","0.5","100","60","5","1","0.75","67.4"
"303","10","0.5","0.2","0.5","100","60","5","1","0.74","68.13"
"305","10","0.5","0.2","0.5","100","60","5","1","0.79","62.62"
"308","10","0.5","0.2","0.5","100","60","5","1","0.76","63.31"
