"BehaviorSpace results (NetLogo 6.2.0)"
"wild_dogs.nlogo"
"vary_meeting_disp_mortality"
"11/01/2021 22:21:42:264 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","ticks","extinct?"
"192","10","0","0.2","0.25","100","60","5","26","26","true"
"190","10","0","0.2","0.25","100","60","5","33","33","true"
"195","10","0","0.2","0.25","100","60","5","25","25","true"
"187","10","0","0.2","0.25","100","60","5","40","40","true"
"193","10","0","0.2","0.25","100","60","5","24","24","true"
"171","10","0","0.2","0.25","100","60","5","90","90","true"
"186","10","0","0.2","0.25","100","60","5","51","51","true"
"172","10","0","0.2","0.25","100","60","5","59","59","true"
"194","10","0","0.2","0.25","100","60","5","41","41","true"
"204","10","0","0.2","0.3","100","60","5","20","20","true"
"200","10","0","0.2","0.25","100","60","5","34","34","true"
"207","10","0","0.2","0.3","100","60","5","30","30","true"
"205","10","0","0.2","0.3","100","60","5","21","21","true"
"197","10","0","0.2","0.25","100","60","5","43","43","true"
"212","10","0","0.2","0.3","100","60","5","13","13","true"
"211","10","0","0.2","0.3","100","60","5","22","22","true"
"206","10","0","0.2","0.3","100","60","5","38","38","true"
"170","10","0","0.2","0.25","100","60","5","100","100","false"
"185","10","0","0.2","0.25","100","60","5","75","75","true"
"203","10","0","0.2","0.3","100","60","5","48","48","true"
"183","10","0","0.2","0.25","100","60","5","100","100","false"
"189","10","0","0.2","0.25","100","60","5","82","82","true"
"196","10","0","0.2","0.25","100","60","5","62","62","true"
"210","10","0","0.2","0.3","100","60","5","59","59","true"
"198","10","0","0.2","0.25","100","60","5","66","66","true"
"214","10","0","0.2","0.3","100","60","5","59","59","true"
"199","10","0","0.2","0.25","100","60","5","96","96","true"
"217","10","0","0.2","0.3","100","60","5","30","30","true"
"220","10","0","0.2","0.3","100","60","5","18","18","true"
"202","10","0","0.2","0.3","100","60","5","62","62","true"
"216","10","0","0.2","0.3","100","60","5","38","38","true"
"215","10","0","0.2","0.3","100","60","5","51","51","true"
"191","10","0","0.2","0.25","100","60","5","99","99","true"
"201","10","0","0.2","0.3","100","60","5","100","100","false"
"209","10","0","0.2","0.3","100","60","5","75","75","true"
"224","10","0","0.2","0.3","100","60","5","32","32","true"
"218","10","0","0.2","0.3","100","60","5","41","41","true"
"227","10","0","0.2","0.3","100","60","5","39","39","true"
"226","10","0","0.2","0.3","100","60","5","51","51","true"
"219","10","0","0.2","0.3","100","60","5","62","62","true"
"213","10","0","0.2","0.3","100","60","5","66","66","true"
"208","10","0","0.2","0.3","100","60","5","100","100","false"
"232","10","0","0.2","0.3","100","60","5","49","49","true"
"233","10","0","0.2","0.3","100","60","5","37","37","true"
"238","10","0","0.2","0.3","100","60","5","29","29","true"
"231","10","0","0.2","0.3","100","60","5","49","49","true"
"237","10","0","0.2","0.3","100","60","5","29","29","true"
"223","10","0","0.2","0.3","100","60","5","59","59","true"
"225","10","0","0.2","0.3","100","60","5","85","85","true"
"240","10","0","0.2","0.3","100","60","5","25","25","true"
"247","10","0","0.2","0.3","100","60","5","24","24","true"
"222","10","0","0.2","0.3","100","60","5","53","53","true"
"228","10","0","0.2","0.3","100","60","5","50","50","true"
"230","10","0","0.2","0.3","100","60","5","78","78","true"
"242","10","0","0.2","0.3","100","60","5","37","37","true"
"243","10","0","0.2","0.3","100","60","5","44","44","true"
"239","10","0","0.2","0.3","100","60","5","49","49","true"
"236","10","0","0.2","0.3","100","60","5","70","70","true"
"246","10","0","0.2","0.3","100","60","5","43","43","true"
"245","10","0","0.2","0.3","100","60","5","49","49","true"
"258","10","0","0.2","0.3","100","60","5","14","14","true"
"256","10","0","0.2","0.3","100","60","5","19","19","true"
"234","10","0","0.2","0.3","100","60","5","100","100","false"
"254","10","0","0.2","0.3","100","60","5","31","31","true"
"259","10","0","0.2","0.3","100","60","5","21","21","true"
"257","10","0","0.2","0.3","100","60","5","24","24","true"
"229","10","0","0.2","0.3","100","60","5","100","100","false"
"250","10","0","0.2","0.3","100","60","5","36","36","true"
"241","10","0","0.2","0.3","100","60","5","57","57","true"
"235","10","0","0.2","0.3","100","60","5","100","100","false"
"253","10","0","0.2","0.3","100","60","5","55","55","true"
"248","10","0","0.2","0.3","100","60","5","86","86","true"
"255","10","0","0.2","0.3","100","60","5","46","46","true"
"262","10","0","0.2","0.3","100","60","5","38","38","true"
"221","10","0","0.2","0.3","100","60","5","100","100","false"
"260","10","0","0.2","0.3","100","60","5","36","36","true"
"249","10","0","0.2","0.3","100","60","5","62","62","true"
"271","10","0","0.2","0.3","100","60","5","23","23","true"
"263","10","0","0.2","0.3","100","60","5","44","44","true"
"273","10","0","0.2","0.3","100","60","5","34","34","true"
"266","10","0","0.2","0.3","100","60","5","37","37","true"
"251","10","0","0.2","0.3","100","60","5","90","90","true"
"275","10","0","0.2","0.3","100","60","5","18","18","true"
"252","10","0","0.2","0.3","100","60","5","74","74","true"
"279","10","0","0.2","0.3","100","60","5","20","20","true"
"244","10","0","0.2","0.3","100","60","5","100","100","false"
"269","10","0","0.2","0.3","100","60","5","49","49","true"
"268","10","0","0.2","0.3","100","60","5","85","85","true"
"277","10","0","0.2","0.3","100","60","5","42","42","true"
"267","10","0","0.2","0.3","100","60","5","59","59","true"
"283","10","0","0.2","0.3","100","60","5","34","34","true"
"270","10","0","0.2","0.3","100","60","5","55","55","true"
"281","10","0","0.2","0.3","100","60","5","29","29","true"
"282","10","0","0.2","0.3","100","60","5","31","31","true"
"276","10","0","0.2","0.3","100","60","5","50","50","true"
"272","10","0","0.2","0.3","100","60","5","67","67","true"
"278","10","0","0.2","0.3","100","60","5","56","56","true"
"265","10","0","0.2","0.3","100","60","5","60","60","true"
"261","10","0","0.2","0.3","100","60","5","97","97","true"
"290","10","0","0.2","0.3","100","60","5","29","29","true"
"295","10","0","0.2","0.3","100","60","5","28","28","true"
"264","10","0","0.2","0.3","100","60","5","89","89","true"
"284","10","0","0.2","0.3","100","60","5","46","46","true"
"286","10","0","0.2","0.3","100","60","5","44","44","true"
"274","10","0","0.2","0.3","100","60","5","60","60","true"
"299","10","0","0.2","0.3","100","60","5","26","26","true"
"289","10","0","0.2","0.3","100","60","5","54","54","true"
"287","10","0","0.2","0.3","100","60","5","33","33","true"
"300","10","0","0.2","0.3","100","60","5","26","26","true"
"292","10","0","0.2","0.3","100","60","5","42","42","true"
"280","10","0","0.2","0.3","100","60","5","49","49","true"
"285","10","0","0.2","0.3","100","60","5","92","92","true"
"291","10","0","0.2","0.3","100","60","5","53","53","true"
"304","10","0","0.2","0.35","100","60","5","25","25","true"
"302","10","0","0.2","0.35","100","60","5","21","21","true"
"313","10","0","0.2","0.35","100","60","5","13","13","true"
"294","10","0","0.2","0.3","100","60","5","55","55","true"
"293","10","0","0.2","0.3","100","60","5","48","48","true"
"296","10","0","0.2","0.3","100","60","5","42","42","true"
"309","10","0","0.2","0.35","100","60","5","35","35","true"
"310","10","0","0.2","0.35","100","60","5","27","27","true"
"301","10","0","0.2","0.35","100","60","5","65","65","true"
"288","10","0","0.2","0.3","100","60","5","100","100","false"
"315","10","0","0.2","0.35","100","60","5","28","28","true"
"311","10","0","0.2","0.35","100","60","5","40","40","true"
"321","10","0","0.2","0.35","100","60","5","23","23","true"
"319","10","0","0.2","0.35","100","60","5","59","59","true"
"320","10","0","0.2","0.35","100","60","5","38","38","true"
"307","10","0","0.2","0.35","100","60","5","40","40","true"
"297","10","0","0.2","0.3","100","60","5","66","66","true"
"322","10","0","0.2","0.35","100","60","5","23","23","true"
"317","10","0","0.2","0.35","100","60","5","42","42","true"
"308","10","0","0.2","0.35","100","60","5","64","64","true"
"298","10","0","0.2","0.3","100","60","5","77","77","true"
"305","10","0","0.2","0.35","100","60","5","55","55","true"
"324","10","0","0.2","0.35","100","60","5","19","19","true"
"323","10","0","0.2","0.35","100","60","5","36","36","true"
"314","10","0","0.2","0.35","100","60","5","50","50","true"
"316","10","0","0.2","0.35","100","60","5","52","52","true"
"306","10","0","0.2","0.35","100","60","5","58","58","true"
"327","10","0","0.2","0.35","100","60","5","28","28","true"
"312","10","0","0.2","0.35","100","60","5","50","50","true"
"339","10","0","0.2","0.35","100","60","5","22","22","true"
"325","10","0","0.2","0.35","100","60","5","44","44","true"
"338","10","0","0.2","0.35","100","60","5","18","18","true"
"303","10","0","0.2","0.35","100","60","5","96","96","true"
"330","10","0","0.2","0.35","100","60","5","28","28","true"
"334","10","0","0.2","0.35","100","60","5","28","28","true"
"337","10","0","0.2","0.35","100","60","5","30","30","true"
"341","10","0","0.2","0.35","100","60","5","23","23","true"
"318","10","0","0.2","0.35","100","60","5","62","62","true"
"344","10","0","0.2","0.35","100","60","5","16","16","true"
"333","10","0","0.2","0.35","100","60","5","33","33","true"
"335","10","0","0.2","0.35","100","60","5","34","34","true"
"336","10","0","0.2","0.35","100","60","5","44","44","true"
"326","10","0","0.2","0.35","100","60","5","54","54","true"
"329","10","0","0.2","0.35","100","60","5","68","68","true"
"349","10","0","0.2","0.35","100","60","5","17","17","true"
"331","10","0","0.2","0.35","100","60","5","47","47","true"
"345","10","0","0.2","0.35","100","60","5","37","37","true"
"328","10","0","0.2","0.35","100","60","5","52","52","true"
"352","10","0","0.2","0.35","100","60","5","33","33","true"
"346","10","0","0.2","0.35","100","60","5","42","42","true"
"348","10","0","0.2","0.35","100","60","5","62","62","true"
"332","10","0","0.2","0.35","100","60","5","67","67","true"
"356","10","0","0.2","0.35","100","60","5","38","38","true"
"354","10","0","0.2","0.35","100","60","5","37","37","true"
"340","10","0","0.2","0.35","100","60","5","100","100","false"
"358","10","0","0.2","0.35","100","60","5","33","33","true"
"362","10","0","0.2","0.35","100","60","5","32","32","true"
"363","10","0","0.2","0.35","100","60","5","52","52","true"
"350","10","0","0.2","0.35","100","60","5","72","72","true"
"355","10","0","0.2","0.35","100","60","5","64","64","true"
"342","10","0","0.2","0.35","100","60","5","96","96","true"
"353","10","0","0.2","0.35","100","60","5","78","78","true"
"369","10","0","0.2","0.35","100","60","5","18","18","true"
"360","10","0","0.2","0.35","100","60","5","68","68","true"
"368","10","0","0.2","0.35","100","60","5","38","38","true"
"366","10","0","0.2","0.35","100","60","5","71","71","true"
"367","10","0","0.2","0.35","100","60","5","56","56","true"
"359","10","0","0.2","0.35","100","60","5","59","59","true"
