"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor.nlogo"
"vary profit"
"09/28/2025 22:18:16:098 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","number-of-links","profit-multiplier","risk-multiplier","vision-mode","objective","number-investors","max-ticks","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles","mean [profit] of patches with [any? turtles-here]","mean [annual-risk] of patches with [any? turtles-here]"
"8","0","0.5","1","neighbors","Optimize","25","50","20","101625.69458406471","69162.8719554668","5445.407397342504","0.028455837379239356"
"3","0","0.5","1","neighbors","Optimize","25","50","13","75977.06971280857","34070.66637497349","5856.928854717298","0.035555843229746205"
"14","0","0.5","1","neighbors","Optimize","25","50","7","36856.97582759985","21554.616989768994","6331.226158044358","0.04326454133238786"
"15","0","0.5","1","neighbors","Optimize","25","50","14","70657.28735938694","39911.15932414107","6192.245600203346","0.036492691421132636"
"9","0","0.5","1","neighbors","Optimize","25","50","12","58704.495120146814","25462.461741172832","5043.873630582458","0.029592992191674092"
"12","0","0.5","1","neighbors","Optimize","25","50","13","69799.11577646963","35894.551273169884","5906.566109314524","0.03463127820605066"
"3","0","0.5","1","neighbors","Optimize","25","50","14","72793.01594831278","40937.60678486778","5856.928854717299","0.035555843229746205"
"10","0","0.5","1","neighbors","Optimize","25","50","7","41096.59384924986","24274.360433198566","6482.394431553635","0.04238090967759447"
"11","0","0.5","1","neighbors","Optimize","25","50","5","30479.361091585495","21833.96220842915","7610.801313988464","0.04193792093740702"
"8","0","0.5","1","neighbors","Optimize","25","50","21","93080.96396321677","71482.77061087605","5762.294372770044","0.03055378652615397"
"2","0","0.5","1","neighbors","Optimize","25","50","5","35574.33482108439","21669.710537582443","7504.473341247837","0.04220042482542332"
"5","0","0.5","1","neighbors","Optimize","25","50","8","42776.00556668659","33375.20504644035","7213.487291569481","0.048813333120447853"
"7","0","0.5","1","neighbors","Optimize","25","50","7","34137.69476547672","20982.611576221756","6455.572852695922","0.04543327614230441"
"9","0","0.5","1","neighbors","Optimize","25","50","13","63748.36875072928","26756.618897693013","5043.873630582458","0.02959299219167409"
"3","0","0.5","1","neighbors","Optimize","25","50","15","74152.60373646987","44259.152576092594","5856.928854717299","0.03555584322974621"
"15","0","0.5","1","neighbors","Optimize","25","50","15","76491.23290488748","40958.169859437934","6192.245600203346","0.03649269142113264"
"12","0","0.5","1","neighbors","Optimize","25","50","14","72438.9306410798","40820.20548481035","5906.566109314524","0.03463127820605065"
"8","0","0.5","1","neighbors","Optimize","25","50","22","93382.16424111865","75343.28760393355","5870.637355500869","0.030843468784024684"
"9","0","0.5","1","neighbors","Optimize","25","50","14","66922.95706726493","31088.11248722345","5043.873630582458","0.02959299219167409"
"5","0","0.5","1","neighbors","Optimize","25","50","9","47083.73121876459","38381.903563747626","7153.3963767449695","0.04803830956218172"
"3","0","0.5","1","neighbors","Optimize","25","50","16","76826.63680269915","48044.11319285437","5804.356993605927","0.03490508532456125"
"13","0","0.5","1","neighbors","Optimize","25","50","7","39391.047190047306","19397.792201175318","7553.1267560146525","0.045803303217899334"
