"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor.nlogo"
"vary risk"
"09/28/2025 22:18:05:532 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","number-of-links","profit-multiplier","risk-multiplier","vision-mode","objective","number-investors","max-ticks","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles","mean [profit] of patches with [any? turtles-here]","mean [annual-risk] of patches with [any? turtles-here]"
"12","0","1","1","neighbors","Optimize","25","50","9","93362.62138463015","48870.500969142726","12426.315604383799","0.0448900091182856"
"1","0","1","1","neighbors","Optimize","25","50","5","64598.9746208572","33937.843767699254","14563.725521757293","0.04639902430503549"
"4","0","1","1","neighbors","Optimize","25","50","31","253789.8005746807","155737.67436762623","10413.190185438836","0.02553690865019203"
"14","0","1","1","neighbors","Optimize","25","50","5","58546.3063424661","34598.80522459657","14519.718831277127","0.04723902189737768"
"7","0","1","1","neighbors","Optimize","25","50","16","117426.77822739792","84471.78464261457","12598.455348825732","0.041570350728382485"
"8","0","1","1","neighbors","Optimize","25","50","5","66294.76974325755","36246.46684314858","14330.343291232555","0.03471130166505966"
"10","0","1","1","neighbors","Optimize","25","50","7","69660.6997178893","40861.81016601867","13680.320574860669","0.051040443978799754"
"15","0","1","1","neighbors","Optimize","25","50","5","68860.09404497144","29535.020629217983","15161.092308238287","0.04206590057187892"
"9","0","1","1","neighbors","Optimize","25","50","8","95222.8771479926","53825.02090168575","13285.620142950263","0.03554373634325916"
"13","0","1","1","neighbors","Optimize","25","50","5","55839.63953410924","36083.01609598978","12853.634637909283","0.04832052888424542"
"4","0","1","1","neighbors","Optimize","25","50","32","255110.5760677714","167482.25060412602","10413.190185438836","0.02553690865019203"
"12","0","1","1","neighbors","Optimize","25","50","10","98574.52673805904","53589.01207897756","12301.578552903644","0.042538795439493564"
"7","0","1","1","neighbors","Optimize","25","50","17","119997.60616401605","90487.48058544895","12388.654878875415","0.04017891509424002"
"5","0","1","1","neighbors","Optimize","25","50","7","88898.41029959045","49267.474510748114","14331.307439573093","0.04983129935391995"
"9","0","1","1","neighbors","Optimize","25","50","9","108508.49729094288","59475.31411302383","13285.620142950267","0.035543736343259164"
"11","0","1","1","neighbors","Optimize","25","50","6","80848.89584156549","40251.1560996764","15097.545427429372","0.05042673170281931"
"2","0","1","1","neighbors","Optimize","25","50","5","50605.97765409129","18349.09074509066","11258.543580149808","0.04498455748112287"
"7","0","1","1","neighbors","Optimize","25","50","18","123261.7380153561","93335.94462664658","12598.455348825728","0.04157035072838248"
"6","0","1","1","neighbors","Optimize","25","50","8","81824.60974363919","43393.31629670747","12019.097453547198","0.03876489970780403"
"4","0","1","1","neighbors","Optimize","25","50","33","249182.83504161515","176193.26641418287","10413.190185438838","0.02553690865019203"
"12","0","1","1","neighbors","Optimize","25","50","11","109393.31349989634","58433.033165514134","12481.605203655963","0.04184814657938487"
"3","0","1","1","neighbors","Optimize","25","50","6","75676.94925186966","32116.909189753285","13398.674052964387","0.04032202045323719"
"4","0","1","1","neighbors","Optimize","25","50","34","259596.02522705393","178389.51019704953","10413.190185438836","0.025536908650192022"
"7","0","1","1","neighbors","Optimize","25","50","19","135875.67312720764","95397.1864100435","12613.935111851522","0.041719072806932794"
"12","0","1","1","neighbors","Optimize","25","50","12","117243.62058856571","65619.03358405357","12665.585242890253","0.03976848443336614"
"9","0","1","1","neighbors","Optimize","25","50","10","121757.4354570444","65299.917821695286","13248.938166101505","0.034800648478064446"
"4","0","1","1","neighbors","Optimize","25","50","35","270009.2154124927","180714.07926451077","10413.190185438834","0.02553690865019203"
"4","0","1","1","neighbors","Optimize","25","50","36","280422.40559793153","183162.08782913882","10413.190185438836","0.025536908650192026"
"7","0","1","1","neighbors","Optimize","25","50","20","146064.74576810075","100782.00152656861","12613.935111851522","0.04171907280693279"
"14","0","1","1","neighbors","Optimize","25","50","6","72840.2726712865","40010.85657266119","14293.966328820405","0.044801782741846"
"1","0","1","1","neighbors","Optimize","25","50","6","71617.41318812147","45656.0455979379","14563.725521757291","0.04639902430503548"
"12","0","1","1","neighbors","Optimize","25","50","13","117339.95480059076","76296.66157348086","12665.58524289025","0.03976848443336614"
"4","0","1","1","neighbors","Optimize","25","50","37","256056.8283458348","214395.46608621176","10413.190185438836","0.025536908650192033"
