"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor.nlogo"
"Number-of-Links"
"09/28/2025 22:48:19:783 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","number-of-links","profit-multiplier","risk-multiplier","vision-mode","objective","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles"
"9","8","1","1","links","Optimize","30","302785.85739451577","135986.09061513693"
"12","0","1","1","links","Optimize","12","98832.4621573422","58569.15786790639"
"11","10","1","1","links","Optimize","28","217211.0104459144","154281.45151916967"
"13","1","1","1","links","Optimize","11","156829.04667013526","73088.01780914264"
"3","2","1","1","links","Optimize","9","110230.15020317065","65686.45055729295"
"8","7","1","1","links","Optimize","10","130329.00777816087","72651.58396222728"
"1","0","1","1","links","Optimize","11","104668.68950930386","61567.38621506368"
"9","8","1","1","links","Optimize","31","299942.0782674683","148603.3755280709"
"11","10","1","1","links","Optimize","29","219650.704461465","161567.37822600335"
"9","8","1","1","links","Optimize","32","300424.4691966066","160833.17451763057"
"8","7","1","1","links","Optimize","11","140847.90824032103","83433.22396781122"
"11","10","1","1","links","Optimize","30","226809.47353699713","163996.107679549"
"10","9","1","1","links","Optimize","6","75818.94049667622","26813.195503334733"
"2","1","1","1","links","Optimize","10","111086.85873626506","60189.49120391519"
"13","1","1","1","links","Optimize","12","168066.89148441076","84924.74759379477"
"9","8","1","1","links","Optimize","33","311868.31858971453","161726.31037957844"
"6","5","1","1","links","Optimize","7","86306.69933840577","51974.89891808365"
"14","2","1","1","links","Optimize","10","109485.71862649365","52576.34867478364"
"8","7","1","1","links","Optimize","12","143809.8986408815","98914.44123583238"
"11","10","1","1","links","Optimize","31","238909.6549967107","160987.2924747209"
"10","9","1","1","links","Optimize","7","87170.89841322003","34471.08112970733"
"13","1","1","1","links","Optimize","13","171955.74905544214","101340.43461574141"
"9","8","1","1","links","Optimize","34","323844.74819987075","161862.19645830328"
"8","7","1","1","links","Optimize","13","156548.30237865765","106413.41862601439"
"5","4","1","1","links","Optimize","8","104567.3409085321","53964.77227623223"
"4","3","1","1","links","Optimize","8","94340.35011680496","43803.344602800724"
"15","3","1","1","links","Optimize","9","99297.4518305289","63388.410613589935"
"12","0","1","1","links","Optimize","13","109019.45432604855","62067.73005358075"
"11","10","1","1","links","Optimize","32","250480.32022359993","158369.72346992407"
"13","1","1","1","links","Optimize","14","188353.95467421308","106014.29376952894"
"10","9","1","1","links","Optimize","8","90115.73865102389","44544.93912386226"
"9","8","1","1","links","Optimize","35","325194.8295104261","174989.69045945595"
"3","2","1","1","links","Optimize","10","122133.07817559093","73751.83696126446"
"1","0","1","1","links","Optimize","12","112113.5899395271","65852.2391289832"
"7","6","1","1","links","Optimize","7","101778.4689055983","58354.354591121"
"8","7","1","1","links","Optimize","14","160637.8660558941","120054.94214132303"
"11","10","1","1","links","Optimize","33","262339.64668730163","155508.54916189157"
"13","1","1","1","links","Optimize","15","198076.66595513735","118175.43816016639"
"10","9","1","1","links","Optimize","9","102756.126265472","47545.40875941771"
"8","7","1","1","links","Optimize","15","168189.41221820758","129486.49554397768"
"9","8","1","1","links","Optimize","36","337171.2591205824","175182.60131211227"
"13","1","1","1","links","Optimize","16","198042.4309204043","136490.56537704653"
"2","1","1","1","links","Optimize","11","120622.66945490852","67494.03121730327"
"8","7","1","1","links","Optimize","16","182560.33075218071","133435.7316606743"
"11","10","1","1","links","Optimize","34","270748.4557114397","158068.8949833807"
"10","9","1","1","links","Optimize","10","115942.17968095555","49577.589192746025"
"13","1","1","1","links","Optimize","17","214697.9981505514","141935.6380722577"
"12","0","1","1","links","Optimize","14","114289.6845634926","69311.0500889725"
"9","8","1","1","links","Optimize","37","339158.94148104795","188168.82137314108"
"14","2","1","1","links","Optimize","11","122628.68326041795","54480.891508816436"
"1","0","1","1","links","Optimize","13","123715.35579532573","66199.17556784379"
"13","1","1","1","links","Optimize","18","231353.5653806985","147568.73503805915"
"11","10","1","1","links","Optimize","35","282822.9774681804","155254.94983659155"
"8","7","1","1","links","Optimize","17","196794.083672755","137788.82449126657"
"9","8","1","1","links","Optimize","38","351180.6814375544","188806.64977104834"
"4","3","1","1","links","Optimize","9","108215.94435963382","46906.87737825685"
"6","5","1","1","links","Optimize","8","100457.48063022029","56795.1733796246"
"13","1","1","1","links","Optimize","19","239107.62524627175","161284.79695339245"
"5","4","1","1","links","Optimize","9","114885.92032460787","64127.38203578619"
"11","10","1","1","links","Optimize","36","294682.30393188214","152699.44489025898"
"15","3","1","1","links","Optimize","10","110365.77099018026","71067.32393933514"
"8","7","1","1","links","Optimize","18","210940.68385055405","142435.95982745098"
"3","2","1","1","links","Optimize","11","136946.34759463687","76317.30717016125"
"9","8","1","1","links","Optimize","39","345317.38848007924","200874.78889952358"
"13","1","1","1","links","Optimize","20","255454.34856464344","167255.79381848534"
"14","2","1","1","links","Optimize","12","120961.30392855486","64676.874653878695"
"11","10","1","1","links","Optimize","37","306541.6303955839","150274.49554785236"
"12","0","1","1","links","Optimize","15","117060.24177043393","79628.50428516122"
"8","7","1","1","links","Optimize","19","224796.61903440088","147219.33730369987"
"9","8","1","1","links","Optimize","40","357932.2256424779","201260.44770868905"
"13","1","1","1","links","Optimize","21","271586.8648031254","169175.600470989"
"14","2","1","1","links","Optimize","13","133951.78683860615","65863.67826046397"
"11","10","1","1","links","Optimize","38","315315.46423827554","153911.94180197534"
"1","0","1","1","links","Optimize","14","130966.4708042119","72494.4949000728"
"2","1","1","1","links","Optimize","12","126752.36298037668","79248.05774366792"
"13","1","1","1","links","Optimize","22","272775.29690290504","188136.91697487477"
"8","7","1","1","links","Optimize","20","209455.78255843965","165171.34572003793"
"9","8","1","1","links","Optimize","41","319669.2079509201","198574.98398937908"
"7","6","1","1","links","Optimize","8","118076.45591051492","64959.442917446155"
"14","2","1","1","links","Optimize","14","147219.65921305204","66586.73162660656"
"11","10","1","1","links","Optimize","39","279540.73266301985","165511.40506537104"
"12","0","1","1","links","Optimize","16","126765.80907451273","82460.80446571368"
"13","1","1","1","links","Optimize","23","283334.14725482854","198021.42369338224"
"8","7","1","1","links","Optimize","21","223529.15742582918","169607.19916053902"
"14","2","1","1","links","Optimize","15","160808.5804679282","68304.7817838272"
"11","10","1","1","links","Optimize","40","282178.7989085696","171423.99834479863"
"9","8","1","1","links","Optimize","42","326487.6384238451","203837.26470735687"
"13","1","1","1","links","Optimize","24","299263.96354267345","201257.00836509725"
"12","0","1","1","links","Optimize","17","135547.1268215246","83971.8025937198"
"8","7","1","1","links","Optimize","22","237602.53229321868","174281.1644869536"
"14","2","1","1","links","Optimize","16","162709.2533352699","82150.11115627056"
"15","3","1","1","links","Optimize","11","112447.42481467137","70698.31718641799"
"11","10","1","1","links","Optimize","41","279781.88420286356","179914.81644889436"
"9","8","1","1","links","Optimize","43","308453.49919053743","199963.80832687143"
"3","2","1","1","links","Optimize","12","136789.6258506118","83885.01063317985"
"13","1","1","1","links","Optimize","25","315038.8466254344","203751.5216098617"
"12","0","1","1","links","Optimize","18","135521.70863222974","88732.8273696633"
"5","4","1","1","links","Optimize","10","128541.89842149371","70086.75026385288"
"4","3","1","1","links","Optimize","10","116722.87008956786","56071.399027576736"
"8","7","1","1","links","Optimize","23","251675.90716060824","179174.60844245148"
"14","2","1","1","links","Optimize","17","169460.98886078552","93010.6049143279"
"1","0","1","1","links","Optimize","15","142745.2028992002","74177.87347757633"
"13","1","1","1","links","Optimize","26","331302.9698544927","206241.37189503026"
"6","5","1","1","links","Optimize","9","110247.82112411608","63846.62544759562"
"9","8","1","1","links","Optimize","44","309442.7905189531","207269.52715592668"
"12","0","1","1","links","Optimize","19","144283.52221221206","89918.3030697636"
"11","10","1","1","links","Optimize","42","286599.3875673379","183329.65565609554"
"14","2","1","1","links","Optimize","18","175845.46417532864","100980.69374083276"
"8","7","1","1","links","Optimize","24","247030.64472434123","198427.55971547344"
"13","1","1","1","links","Optimize","27","305043.1845937826","218915.48362200093"
"2","1","1","1","links","Optimize","13","140387.21015030917","82219.32029511164"
"12","0","1","1","links","Optimize","20","146499.37752933177","96071.59201042616"
"9","8","1","1","links","Optimize","45","321882.16506377043","204650.537599124"
"11","10","1","1","links","Optimize","43","298084.0313462711","179137.0738537409"
"14","2","1","1","links","Optimize","19","177221.62612522815","106325.51375317818"
"13","1","1","1","links","Optimize","28","310631.57828280417","228529.22448883404"
"12","0","1","1","links","Optimize","21","150247.35766224115","102325.27251444706"
"9","8","1","1","links","Optimize","46","333884.9689619527","202011.83779619145"
"7","6","1","1","links","Optimize","9","131201.61050904737","73966.97266730314"
"8","7","1","1","links","Optimize","25","236574.69535052497","202424.64736477094"
"14","2","1","1","links","Optimize","20","190063.77058610003","106884.78026465645"
"11","10","1","1","links","Optimize","44","309512.0253742198","175072.1135795645"
"13","1","1","1","links","Optimize","29","326895.7015118625","228732.95857407298"
"12","0","1","1","links","Optimize","22","152600.7880122042","111380.48294673194"
"9","8","1","1","links","Optimize","47","308361.5327671797","226298.98621988308"
"13","1","1","1","links","Optimize","30","343159.8247409208","229230.4168311835"
"14","2","1","1","links","Optimize","21","201641.3610086317","106825.69693236002"
"8","7","1","1","links","Optimize","26","250175.58934651653","201809.8717528637"
"3","2","1","1","links","Optimize","13","124283.17628350056","104578.07188400094"
"11","10","1","1","links","Optimize","45","320788.45202295197","171341.81378834852"
"12","0","1","1","links","Optimize","23","161264.4321320864","113228.57203016541"
"15","3","1","1","links","Optimize","12","125937.0845635894","70450.33332794705"
"13","1","1","1","links","Optimize","31","325380.9978871362","243601.03828136547"
"1","0","1","1","links","Optimize","16","149612.60288665316","82402.89163737664"
"9","8","1","1","links","Optimize","48","319490.9280494684","223225.980423616"
"14","2","1","1","links","Optimize","22","198336.12186815208","107965.52474190961"
"8","7","1","1","links","Optimize","27","263626.66358488356","201564.57574383068"
"6","5","1","1","links","Optimize","10","119847.75704799873","70688.49068453972"
"12","0","1","1","links","Optimize","24","150268.41682382615","126143.77560510935"
"13","1","1","1","links","Optimize","32","341645.1211161946","245479.15988566438"
"11","10","1","1","links","Optimize","46","332064.87867168407","167705.06805494864"
"14","2","1","1","links","Optimize","23","184104.7648399511","121211.28118493484"
"9","8","1","1","links","Optimize","49","330620.32333175716","220350.6013362891"
"2","1","1","1","links","Optimize","14","154430.09125613456","85664.36214441338"
