"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PD_reciprocity.nlogo"
"experiment"
"10/07/2024 01:18:11:708 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","payoff-benefit","num-iterations","init-coop-freq","payoff-cost","TFT?","randomization-prob","[step]","coop-freq"
"388","1","2","0.2","0.1","true","1","6","1"
"401","1","2","0.2","0.2","true","0","10","1"
"394","1","2","0.2","0.1","true","1","6","1"
"390","1","2","0.2","0.1","true","1","6","1"
"393","1","2","0.2","0.1","true","1","6","1"
"402","1","2","0.2","0.2","true","0","9","1"
"391","1","2","0.2","0.1","true","1","6","1"
"392","1","2","0.2","0.1","true","1","6","1"
"403","1","2","0.2","0.2","true","0","11","1"
"405","1","2","0.2","0.2","true","0","8","1"
"404","1","2","0.2","0.2","true","0","11","1"
"407","1","2","0.2","0.2","true","0","8","1"
"408","1","2","0.2","0.2","true","0","8","1"
"409","1","2","0.2","0.2","true","0","9","1"
"410","1","2","0.2","0.2","true","0","8","1"
"406","1","2","0.2","0.2","true","0","11","1"
"412","1","2","0.2","0.2","true","0","8","1"
"411","1","2","0.2","0.2","true","0","9","1"
"414","1","2","0.2","0.2","true","0","9","1"
"415","1","2","0.2","0.2","true","0","8","1"
"413","1","2","0.2","0.2","true","0","10","1"
"416","1","2","0.2","0.2","true","0","7","1"
"417","1","2","0.2","0.2","true","0","8","1"
"418","1","2","0.2","0.2","true","0","9","1"
"420","1","2","0.2","0.2","true","0","8","1"
"419","1","2","0.2","0.2","true","0","12","1"
"399","1","2","0.2","0.1","true","1","5","1"
"400","1","2","0.2","0.1","true","1","5","1"
"397","1","2","0.2","0.1","true","1","6","1"
"396","1","2","0.2","0.1","true","1","6","1"
"422","1","2","0.2","0.2","true","1","4","0"
"424","1","2","0.2","0.2","true","1","4","0"
"427","1","2","0.2","0.2","true","1","4","0"
"398","1","2","0.2","0.1","true","1","7","1"
"429","1","2","0.2","0.2","true","1","4","0"
"421","1","2","0.2","0.2","true","1","5","0"
"426","1","2","0.2","0.2","true","1","5","0"
"425","1","2","0.2","0.2","true","1","5","0"
"428","1","2","0.2","0.2","true","1","5","0"
"423","1","2","0.2","0.2","true","1","5","0"
"430","1","2","0.2","0.2","true","1","6","0"
"431","1","2","0.2","0.2","true","1","5","0"
"435","1","2","0.2","0.2","true","1","4","0"
"432","1","2","0.2","0.2","true","1","5","0"
"436","1","2","0.2","0.2","true","1","4","0"
"437","1","2","0.2","0.2","true","1","4","0"
"438","1","2","0.2","0.2","true","1","4","0"
"433","1","2","0.2","0.2","true","1","5","0"
"434","1","2","0.2","0.2","true","1","5","0"
"439","1","2","0.2","0.2","true","1","5","0"
"440","1","2","0.2","0.2","true","1","5","0"
"443","1","2","0.2","0.3","true","0","100","0.9802289281997919"
"442","1","2","0.2","0.3","true","0","100","0.9854318418314256"
"441","1","2","0.2","0.3","true","0","100","0.9719042663891779"
"444","1","2","0.2","0.3","true","0","100","0.9760665972944849"
"445","1","2","0.2","0.3","true","0","100","0.9771071800208116"
"446","1","2","0.2","0.3","true","0","100","0.9750260145681582"
"447","1","2","0.2","0.3","true","0","100","0.9760665972944849"
"449","1","2","0.2","0.3","true","0","100","0.967741935483871"
"451","1","2","0.2","0.3","true","0","100","0.9719042663891779"
"448","1","2","0.2","0.3","true","0","100","0.9771071800208116"
"450","1","2","0.2","0.3","true","0","100","0.9802289281997919"
"452","1","2","0.2","0.3","true","0","100","0.9823100936524454"
"453","1","2","0.2","0.3","true","0","100","0.9843912591050988"
"455","1","2","0.2","0.3","true","0","100","0.967741935483871"
"454","1","2","0.2","0.3","true","0","100","0.9823100936524454"
"462","1","2","0.2","0.3","true","1","3","0"
"461","1","2","0.2","0.3","true","1","3","0"
"456","1","2","0.2","0.3","true","0","100","0.9760665972944849"
"468","1","2","0.2","0.3","true","1","2","0"
"457","1","2","0.2","0.3","true","0","100","0.9781477627471384"
"459","1","2","0.2","0.3","true","0","100","0.9812695109261186"
"458","1","2","0.2","0.3","true","0","100","0.9864724245577523"
"464","1","2","0.2","0.3","true","1","3","0"
"463","1","2","0.2","0.3","true","1","4","0"
"460","1","2","0.2","0.3","true","0","100","0.9687825182101977"
"466","1","2","0.2","0.3","true","1","4","0"
"467","1","2","0.2","0.3","true","1","4","0"
"465","1","2","0.2","0.3","true","1","5","0"
"470","1","2","0.2","0.3","true","1","3","0"
"471","1","2","0.2","0.3","true","1","3","0"
"469","1","2","0.2","0.3","true","1","4","0"
"475","1","2","0.2","0.3","true","1","3","0"
"477","1","2","0.2","0.3","true","1","3","0"
"478","1","2","0.2","0.3","true","1","3","0"
"472","1","2","0.2","0.3","true","1","4","0"
"473","1","2","0.2","0.3","true","1","4","0"
"474","1","2","0.2","0.3","true","1","4","0"
"476","1","2","0.2","0.3","true","1","4","0"
"480","1","2","0.2","0.3","true","1","3","0"
"479","1","2","0.2","0.3","true","1","4","0"
"481","1","2","0.2","0.4","true","0","100","0.015608740894901144"
"482","1","2","0.2","0.4","true","0","100","0.9771071800208116"
"483","1","2","0.2","0.4","true","0","100","0.9760665972944849"
"484","1","2","0.2","0.4","true","0","100","0.967741935483871"
"485","1","2","0.2","0.4","true","0","100","0.9812695109261186"
"486","1","2","0.2","0.4","true","0","100","0.9760665972944849"
"488","1","2","0.2","0.4","true","0","100","0.967741935483871"
"487","1","2","0.2","0.4","true","0","100","0.9760665972944849"
"489","1","2","0.2","0.4","true","0","100","0.9708636836628513"
"490","1","2","0.2","0.4","true","0","100","0.9729448491155047"
"491","1","2","0.2","0.4","true","0","100","0.9802289281997919"
"492","1","2","0.2","0.4","true","0","100","0.9885535900104059"
"493","1","2","0.2","0.4","true","0","100","0.9875130072840791"
"494","1","2","0.2","0.4","true","0","100","0.9812695109261186"
"501","1","2","0.2","0.4","true","1","2","0"
"495","1","2","0.2","0.4","true","0","100","0.9750260145681582"
"502","1","2","0.2","0.4","true","1","2","0"
"503","1","2","0.2","0.4","true","1","2","0"
"504","1","2","0.2","0.4","true","1","2","0"
"506","1","2","0.2","0.4","true","1","2","0"
"505","1","2","0.2","0.4","true","1","2","0"
"508","1","2","0.2","0.4","true","1","2","0"
"509","1","2","0.2","0.4","true","1","2","0"
"507","1","2","0.2","0.4","true","1","3","0"
"511","1","2","0.2","0.4","true","1","2","0"
"496","1","2","0.2","0.4","true","0","100","0.9843912591050988"
"515","1","2","0.2","0.4","true","1","2","0"
"497","1","2","0.2","0.4","true","0","100","0.9802289281997919"
"516","1","2","0.2","0.4","true","1","2","0"
"510","1","2","0.2","0.4","true","1","3","0"
"498","1","2","0.2","0.4","true","0","100","0.9729448491155047"
"512","1","2","0.2","0.4","true","1","3","0"
"513","1","2","0.2","0.4","true","1","3","0"
"499","1","2","0.2","0.4","true","0","100","0.9823100936524454"
"514","1","2","0.2","0.4","true","1","3","0"
"500","1","2","0.2","0.4","true","0","100","0.9698231009365245"
"517","1","2","0.2","0.4","true","1","3","0"
"518","1","2","0.2","0.4","true","1","3","0"
"520","1","2","0.2","0.4","true","1","2","0"
"534","1","2","0.2","0.5","true","0","3","0"
"519","1","2","0.2","0.4","true","1","3","0"
"522","1","2","0.2","0.5","true","0","100","0.01040582726326743"
"521","1","2","0.2","0.5","true","0","100","0.01040582726326743"
"525","1","2","0.2","0.5","true","0","100","0.005202913631633715"
"524","1","2","0.2","0.5","true","0","100","0.011446409989594173"
"526","1","2","0.2","0.5","true","0","100","0.005202913631633715"
"529","1","2","0.2","0.5","true","0","100","0.012486992715920915"
"530","1","2","0.2","0.5","true","0","100","0.01664932362122789"
