"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PD_simple.nlogo"
"experiment"
"10/07/2024 00:31:12:079 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","payoff-benefit","init-coop-freq","payoff-cost","[step]","(count turtles with [strategy = 1]) / (count turtles)"
"11","1","0.5","0.01","20","0.7325702393340271"
"7","1","0.5","0.01","19","0.7336108220603538"
"12","1","0.5","0.01","26","0.7377731529656608"
"8","1","0.5","0.01","22","0.7513007284079084"
"9","1","0.5","0.01","27","0.7554630593132154"
"5","1","0.5","0.01","29","0.7481789802289281"
"14","1","0.5","0.01","23","0.7388137356919875"
"4","1","0.5","0.01","29","0.7658688865764828"
"1","1","0.5","0.01","25","0.7669094693028096"
"10","1","0.5","0.01","29","0.7762747138397502"
"15","1","0.5","0.01","23","0.7138397502601457"
"3","1","0.5","0.01","26","0.7575442247658689"
"13","1","0.5","0.01","27","0.7346514047866806"
"12","1","0.5","0.01","27","0.7377731529656608"
"6","1","0.5","0.01","21","0.72840790842872"
"5","1","0.5","0.01","30","0.7481789802289281"
"2","1","0.5","0.01","27","0.7325702393340271"
"11","1","0.5","0.01","21","0.7325702393340271"
"8","1","0.5","0.01","23","0.7544224765868887"
"4","1","0.5","0.01","30","0.7658688865764828"
"1","1","0.5","0.01","26","0.7627471383975026"
"7","1","0.5","0.01","20","0.7336108220603538"
"10","1","0.5","0.01","30","0.7762747138397502"
"13","1","0.5","0.01","28","0.7346514047866806"
"3","1","0.5","0.01","27","0.7575442247658689"
"9","1","0.5","0.01","28","0.7554630593132154"
"5","1","0.5","0.01","31","0.7481789802289281"
"15","1","0.5","0.01","24","0.7138397502601457"
"12","1","0.5","0.01","28","0.7377731529656608"
"2","1","0.5","0.01","28","0.7346514047866806"
"11","1","0.5","0.01","22","0.7325702393340271"
"1","1","0.5","0.01","27","0.7669094693028096"
"4","1","0.5","0.01","31","0.7658688865764828"
"6","1","0.5","0.01","22","0.72840790842872"
"5","1","0.5","0.01","32","0.7481789802289281"
"14","1","0.5","0.01","24","0.7388137356919875"
"10","1","0.5","0.01","31","0.7762747138397502"
"3","1","0.5","0.01","28","0.7575442247658689"
"9","1","0.5","0.01","29","0.7554630593132154"
"13","1","0.5","0.01","29","0.7346514047866806"
"7","1","0.5","0.01","21","0.7336108220603538"
"8","1","0.5","0.01","24","0.7533818938605619"
"15","1","0.5","0.01","25","0.7138397502601457"
"12","1","0.5","0.01","29","0.7377731529656608"
"4","1","0.5","0.01","32","0.7658688865764828"
"1","1","0.5","0.01","28","0.7637877211238293"
"11","1","0.5","0.01","23","0.7325702393340271"
"14","1","0.5","0.01","25","0.7388137356919875"
"5","1","0.5","0.01","33","0.7481789802289281"
"6","1","0.5","0.01","23","0.72840790842872"
"13","1","0.5","0.01","30","0.7346514047866806"
"3","1","0.5","0.01","29","0.7575442247658689"
"10","1","0.5","0.01","32","0.7762747138397502"
"8","1","0.5","0.01","25","0.7554630593132154"
"7","1","0.5","0.01","22","0.7336108220603538"
"9","1","0.5","0.01","30","0.7554630593132154"
"15","1","0.5","0.01","26","0.7138397502601457"
"2","1","0.5","0.01","29","0.7304890738813735"
"12","1","0.5","0.01","30","0.7377731529656608"
"1","1","0.5","0.01","29","0.7669094693028096"
"5","1","0.5","0.01","34","0.7481789802289281"
"4","1","0.5","0.01","33","0.7658688865764828"
"13","1","0.5","0.01","31","0.7346514047866806"
"11","1","0.5","0.01","24","0.7325702393340271"
"10","1","0.5","0.01","33","0.7762747138397502"
"14","1","0.5","0.01","26","0.7388137356919875"
"3","1","0.5","0.01","30","0.7575442247658689"
"6","1","0.5","0.01","24","0.72840790842872"
"8","1","0.5","0.01","26","0.7513007284079084"
"9","1","0.5","0.01","31","0.7554630593132154"
"15","1","0.5","0.01","27","0.7138397502601457"
"12","1","0.5","0.01","31","0.7377731529656608"
"2","1","0.5","0.01","30","0.7325702393340271"
"7","1","0.5","0.01","23","0.7336108220603538"
"1","1","0.5","0.01","30","0.7658688865764828"
"5","1","0.5","0.01","35","0.7481789802289281"
"4","1","0.5","0.01","34","0.7658688865764828"
"14","1","0.5","0.01","27","0.7388137356919875"
"10","1","0.5","0.01","34","0.7762747138397502"
"11","1","0.5","0.01","25","0.7325702393340271"
"13","1","0.5","0.01","32","0.7346514047866806"
"12","1","0.5","0.01","32","0.7377731529656608"
"3","1","0.5","0.01","31","0.7575442247658689"
"9","1","0.5","0.01","32","0.7554630593132154"
"6","1","0.5","0.01","25","0.72840790842872"
"8","1","0.5","0.01","27","0.7533818938605619"
"2","1","0.5","0.01","31","0.7346514047866806"
"15","1","0.5","0.01","28","0.7138397502601457"
"7","1","0.5","0.01","24","0.7336108220603538"
"5","1","0.5","0.01","36","0.7481789802289281"
"14","1","0.5","0.01","28","0.7388137356919875"
"4","1","0.5","0.01","35","0.7658688865764828"
"1","1","0.5","0.01","31","0.7658688865764828"
"10","1","0.5","0.01","35","0.7762747138397502"
"15","1","0.5","0.01","29","0.7138397502601457"
"11","1","0.5","0.01","26","0.7325702393340271"
"3","1","0.5","0.01","32","0.7575442247658689"
"12","1","0.5","0.01","33","0.7377731529656608"
"9","1","0.5","0.01","33","0.7554630593132154"
"13","1","0.5","0.01","33","0.7346514047866806"
"8","1","0.5","0.01","28","0.7554630593132154"
"6","1","0.5","0.01","26","0.72840790842872"
"2","1","0.5","0.01","32","0.7304890738813735"
"5","1","0.5","0.01","37","0.7481789802289281"
"7","1","0.5","0.01","25","0.7336108220603538"
"14","1","0.5","0.01","29","0.7388137356919875"
"10","1","0.5","0.01","36","0.7762747138397502"
"4","1","0.5","0.01","36","0.7658688865764828"
"1","1","0.5","0.01","32","0.7658688865764828"
"8","1","0.5","0.01","29","0.7513007284079084"
"3","1","0.5","0.01","33","0.7575442247658689"
"6","1","0.5","0.01","27","0.72840790842872"
"12","1","0.5","0.01","34","0.7377731529656608"
"15","1","0.5","0.01","30","0.7138397502601457"
"11","1","0.5","0.01","27","0.7325702393340271"
"2","1","0.5","0.01","33","0.7325702393340271"
"9","1","0.5","0.01","34","0.7554630593132154"
"13","1","0.5","0.01","34","0.7346514047866806"
"4","1","0.5","0.01","37","0.7658688865764828"
"10","1","0.5","0.01","37","0.7762747138397502"
"1","1","0.5","0.01","33","0.7658688865764828"
"7","1","0.5","0.01","26","0.7336108220603538"
"14","1","0.5","0.01","30","0.7388137356919875"
"5","1","0.5","0.01","38","0.7481789802289281"
"6","1","0.5","0.01","28","0.72840790842872"
"12","1","0.5","0.01","35","0.7377731529656608"
"3","1","0.5","0.01","34","0.7575442247658689"
"8","1","0.5","0.01","30","0.7544224765868887"
"15","1","0.5","0.01","31","0.7138397502601457"
"11","1","0.5","0.01","28","0.7325702393340271"
"9","1","0.5","0.01","35","0.7554630593132154"
"2","1","0.5","0.01","34","0.7346514047866806"
"5","1","0.5","0.01","39","0.7481789802289281"
"13","1","0.5","0.01","35","0.7346514047866806"
"4","1","0.5","0.01","38","0.7658688865764828"
"1","1","0.5","0.01","34","0.7658688865764828"
"14","1","0.5","0.01","31","0.7388137356919875"
"10","1","0.5","0.01","38","0.7762747138397502"
"7","1","0.5","0.01","27","0.7336108220603538"
"8","1","0.5","0.01","31","0.7533818938605619"
