"BehaviorSpace results (NetLogo 5.3.1)"
"wild_dogs.nlogo"
"sensitivity-analysis"
"04/12/2016 02:18:42:452 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","carrying-capacity","years-to-simulate","mortality-adult","mortality-disperser","mean-meeting-rate","[step]","count dogs","extinct?"
"243","40","100","0.15","0.2","2","100","31","false"
"246","40","100","0.15","0.2","2","100","18","false"
"249","40","100","0.15","0.2","2","100","33","false"
"250","40","100","0.15","0.2","2","100","3","false"
"247","40","100","0.15","0.2","2","68","0","true"
"251","40","100","0.15","0.2","2","100","19","false"
"253","40","100","0.15","0.2","2","100","25","false"
"252","40","100","0.15","0.2","2","100","29","false"
"257","40","100","0.15","0.2","2","81","0","true"
"255","40","100","0.15","0.2","2","100","31","false"
"256","40","100","0.15","0.2","2","100","32","false"
"258","40","100","0.15","0.2","2","100","18","false"
"262","40","100","0.15","0.2","2","80","0","true"
"259","40","100","0.15","0.2","2","100","22","false"
"263","40","100","0.15","0.2","2","57","0","true"
"260","40","100","0.15","0.2","2","99","0","true"
"264","40","100","0.15","0.2","2","42","0","true"
"261","40","100","0.15","0.2","2","100","14","false"
"254","40","100","0.15","0.2","2","100","37","false"
"270","40","100","0.15","0.2","2","48","0","true"
"271","40","100","0.15","0.25","0.4","63","0","true"
"266","40","100","0.15","0.2","2","85","0","true"
"273","40","100","0.15","0.25","0.4","41","0","true"
"265","40","100","0.15","0.2","2","100","29","false"
"267","40","100","0.15","0.2","2","100","29","false"
"275","40","100","0.15","0.25","0.4","45","0","true"
"269","40","100","0.15","0.2","2","100","26","false"
"268","40","100","0.15","0.2","2","100","33","false"
"278","40","100","0.15","0.25","0.4","31","0","true"
"272","40","100","0.15","0.25","0.4","69","0","true"
"279","40","100","0.15","0.25","0.4","54","0","true"
"281","40","100","0.15","0.25","0.4","38","0","true"
"274","40","100","0.15","0.25","0.4","100","2","false"
"277","40","100","0.15","0.25","0.4","93","0","true"
"276","40","100","0.15","0.25","0.4","100","28","false"
"283","40","100","0.15","0.25","0.4","54","0","true"
"280","40","100","0.15","0.25","0.4","97","0","true"
"285","40","100","0.15","0.25","0.4","73","0","true"
"282","40","100","0.15","0.25","0.4","100","13","false"
"288","40","100","0.15","0.25","0.4","51","0","true"
"284","40","100","0.15","0.25","0.4","100","25","false"
"289","40","100","0.15","0.25","0.4","43","0","true"
"287","40","100","0.15","0.25","0.4","100","1","false"
"294","40","100","0.15","0.25","0.4","39","0","true"
"286","40","100","0.15","0.25","0.4","100","17","false"
"292","40","100","0.15","0.25","0.4","62","0","true"
"293","40","100","0.15","0.25","0.4","64","0","true"
"290","40","100","0.15","0.25","0.4","88","0","true"
"295","40","100","0.15","0.25","0.4","100","1","false"
"296","40","100","0.15","0.25","0.4","59","0","true"
"291","40","100","0.15","0.25","0.4","100","14","false"
"297","40","100","0.15","0.25","0.4","65","0","true"
"299","40","100","0.15","0.25","0.4","100","13","false"
"298","40","100","0.15","0.25","0.4","100","8","false"
"303","40","100","0.15","0.25","0.6","69","0","true"
"304","40","100","0.15","0.25","0.6","60","0","true"
"301","40","100","0.15","0.25","0.6","100","21","false"
"300","40","100","0.15","0.25","0.4","100","10","false"
"305","40","100","0.15","0.25","0.6","100","27","false"
"306","40","100","0.15","0.25","0.6","94","0","true"
"309","40","100","0.15","0.25","0.6","100","15","false"
"302","40","100","0.15","0.25","0.6","100","12","false"
"308","40","100","0.15","0.25","0.6","100","17","false"
"310","40","100","0.15","0.25","0.6","100","18","false"
"307","40","100","0.15","0.25","0.6","100","17","false"
"311","40","100","0.15","0.25","0.6","100","22","false"
"316","40","100","0.15","0.25","0.6","21","0","true"
"313","40","100","0.15","0.25","0.6","100","11","false"
"315","40","100","0.15","0.25","0.6","48","0","true"
"318","40","100","0.15","0.25","0.6","31","0","true"
"312","40","100","0.15","0.25","0.6","100","33","false"
"314","40","100","0.15","0.25","0.6","100","1","false"
"317","40","100","0.15","0.25","0.6","100","2","false"
"319","40","100","0.15","0.25","0.6","100","10","false"
"320","40","100","0.15","0.25","0.6","93","0","true"
"322","40","100","0.15","0.25","0.6","100","19","false"
"327","40","100","0.15","0.25","0.6","27","0","true"
"321","40","100","0.15","0.25","0.6","100","20","false"
"323","40","100","0.15","0.25","0.6","100","6","false"
"324","40","100","0.15","0.25","0.6","100","20","false"
"325","40","100","0.15","0.25","0.6","88","0","true"
"331","40","100","0.15","0.25","0.8","53","0","true"
"334","40","100","0.15","0.25","0.8","36","0","true"
"330","40","100","0.15","0.25","0.6","100","18","false"
"329","40","100","0.15","0.25","0.6","97","0","true"
"326","40","100","0.15","0.25","0.6","100","16","false"
"328","40","100","0.15","0.25","0.6","100","17","false"
"332","40","100","0.15","0.25","0.8","100","29","false"
"337","40","100","0.15","0.25","0.8","84","0","true"
"333","40","100","0.15","0.25","0.8","100","28","false"
"336","40","100","0.15","0.25","0.8","100","24","false"
"339","40","100","0.15","0.25","0.8","81","0","true"
"338","40","100","0.15","0.25","0.8","100","16","false"
"341","40","100","0.15","0.25","0.8","58","0","true"
"335","40","100","0.15","0.25","0.8","100","15","false"
"340","40","100","0.15","0.25","0.8","100","1","false"
"348","40","100","0.15","0.25","0.8","72","0","true"
"343","40","100","0.15","0.25","0.8","100","13","false"
"342","40","100","0.15","0.25","0.8","100","30","false"
"345","40","100","0.15","0.25","0.8","100","12","false"
"349","40","100","0.15","0.25","0.8","62","0","true"
"346","40","100","0.15","0.25","0.8","91","0","true"
"353","40","100","0.15","0.25","0.8","47","0","true"
"350","40","100","0.15","0.25","0.8","100","19","false"
"344","40","100","0.15","0.25","0.8","100","11","false"
"354","40","100","0.15","0.25","0.8","73","0","true"
"351","40","100","0.15","0.25","0.8","100","23","false"
"355","40","100","0.15","0.25","0.8","100","1","false"
"347","40","100","0.15","0.25","0.8","100","26","false"
"360","40","100","0.15","0.25","0.8","37","0","true"
"352","40","100","0.15","0.25","0.8","100","25","false"
"357","40","100","0.15","0.25","0.8","76","0","true"
"359","40","100","0.15","0.25","0.8","46","0","true"
"356","40","100","0.15","0.25","0.8","100","19","false"
"365","40","100","0.15","0.25","1","43","0","true"
"363","40","100","0.15","0.25","1","51","0","true"
"358","40","100","0.15","0.25","0.8","100","15","false"
"366","40","100","0.15","0.25","1","100","7","false"
"369","40","100","0.15","0.25","1","39","0","true"
"361","40","100","0.15","0.25","1","100","31","false"
"367","40","100","0.15","0.25","1","71","0","true"
"364","40","100","0.15","0.25","1","100","35","false"
"372","40","100","0.15","0.25","1","52","0","true"
"374","40","100","0.15","0.25","1","68","0","true"
"368","40","100","0.15","0.25","1","100","30","false"
"370","40","100","0.15","0.25","1","100","10","false"
"375","40","100","0.15","0.25","1","61","0","true"
"377","40","100","0.15","0.25","1","62","0","true"
"373","40","100","0.15","0.25","1","100","1","false"
"371","40","100","0.15","0.25","1","100","17","false"
"379","40","100","0.15","0.25","1","32","0","true"
"362","40","100","0.15","0.25","1","100","11","false"
"376","40","100","0.15","0.25","1","67","0","true"
"380","40","100","0.15","0.25","1","85","0","true"
"383","40","100","0.15","0.25","1","88","0","true"
"382","40","100","0.15","0.25","1","82","0","true"
"381","40","100","0.15","0.25","1","100","23","false"
"378","40","100","0.15","0.25","1","100","35","false"
"390","40","100","0.15","0.25","1","21","0","true"
"386","40","100","0.15","0.25","1","100","6","false"
"385","40","100","0.15","0.25","1","100","24","false"
"384","40","100","0.15","0.25","1","100","22","false"
"392","40","100","0.15","0.25","1.2","40","0","true"
"389","40","100","0.15","0.25","1","77","0","true"
"394","40","100","0.15","0.25","1.2","45","0","true"
"387","40","100","0.15","0.25","1","100","16","false"
"388","40","100","0.15","0.25","1","100","29","false"
"391","40","100","0.15","0.25","1.2","93","0","true"
"393","40","100","0.15","0.25","1.2","100","24","false"
"396","40","100","0.15","0.25","1.2","100","8","false"
"400","40","100","0.15","0.25","1.2","53","0","true"
"397","40","100","0.15","0.25","1.2","100","11","false"
"395","40","100","0.15","0.25","1.2","100","2","false"
"401","40","100","0.15","0.25","1.2","100","31","false"
"398","40","100","0.15","0.25","1.2","100","28","false"
"399","40","100","0.15","0.25","1.2","100","23","false"
"405","40","100","0.15","0.25","1.2","100","13","false"
"403","40","100","0.15","0.25","1.2","100","20","false"
"404","40","100","0.15","0.25","1.2","100","27","false"
"402","40","100","0.15","0.25","1.2","100","24","false"
"409","40","100","0.15","0.25","1.2","50","0","true"
"411","40","100","0.15","0.25","1.2","54","0","true"
"407","40","100","0.15","0.25","1.2","100","1","false"
"413","40","100","0.15","0.25","1.2","39","0","true"
"410","40","100","0.15","0.25","1.2","83","0","true"
"406","40","100","0.15","0.25","1.2","100","11","false"
"415","40","100","0.15","0.25","1.2","39","0","true"
"408","40","100","0.15","0.25","1.2","100","26","false"
"418","40","100","0.15","0.25","1.2","76","0","true"
"419","40","100","0.15","0.25","1.2","65","0","true"
"412","40","100","0.15","0.25","1.2","100","11","false"
"417","40","100","0.15","0.25","1.2","100","26","false"
"416","40","100","0.15","0.25","1.2","100","32","false"
"414","40","100","0.15","0.25","1.2","100","25","false"
"425","40","100","0.15","0.25","1.4","39","0","true"
"420","40","100","0.15","0.25","1.2","100","31","false"
"427","40","100","0.15","0.25","1.4","70","0","true"
"423","40","100","0.15","0.25","1.4","89","0","true"
"422","40","100","0.15","0.25","1.4","100","10","false"
"421","40","100","0.15","0.25","1.4","100","29","false"
"428","40","100","0.15","0.25","1.4","51","0","true"
"426","40","100","0.15","0.25","1.4","100","24","false"
"424","40","100","0.15","0.25","1.4","100","24","false"
"435","40","100","0.15","0.25","1.4","32","0","true"
"429","40","100","0.15","0.25","1.4","100","38","false"
"434","40","100","0.15","0.25","1.4","77","0","true"
"430","40","100","0.15","0.25","1.4","100","24","false"
"436","40","100","0.15","0.25","1.4","49","0","true"
"431","40","100","0.15","0.25","1.4","100","16","false"
"437","40","100","0.15","0.25","1.4","65","0","true"
"432","40","100","0.15","0.25","1.4","100","1","false"
"439","40","100","0.15","0.25","1.4","54","0","true"
"433","40","100","0.15","0.25","1.4","100","19","false"
"443","40","100","0.15","0.25","1.4","78","0","true"
"441","40","100","0.15","0.25","1.4","100","6","false"
"438","40","100","0.15","0.25","1.4","100","25","false"
"440","40","100","0.15","0.25","1.4","100","11","false"
"444","40","100","0.15","0.25","1.4","100","35","false"
"442","40","100","0.15","0.25","1.4","100","27","false"
"445","40","100","0.15","0.25","1.4","100","12","false"
"448","40","100","0.15","0.25","1.4","94","0","true"
"451","40","100","0.15","0.25","1.6","37","0","true"
"446","40","100","0.15","0.25","1.4","100","2","false"
"447","40","100","0.15","0.25","1.4","100","15","false"
"457","40","100","0.15","0.25","1.6","42","0","true"
"452","40","100","0.15","0.25","1.6","89","0","true"
"450","40","100","0.15","0.25","1.4","100","30","false"
"449","40","100","0.15","0.25","1.4","100","29","false"
"453","40","100","0.15","0.25","1.6","100","25","false"
"455","40","100","0.15","0.25","1.6","100","26","false"
"454","40","100","0.15","0.25","1.6","100","22","false"
"458","40","100","0.15","0.25","1.6","85","0","true"
"456","40","100","0.15","0.25","1.6","100","29","false"
"460","40","100","0.15","0.25","1.6","100","14","false"
"459","40","100","0.15","0.25","1.6","100","20","false"
"461","40","100","0.15","0.25","1.6","100","41","false"
