"BehaviorSpace results (NetLogo 6.2.0)"
"BusinessInvestor.nlogo"
"vary-time-horizon"
"10/07/2021 01:21:37:948 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","profit-multiplier","risk-multiplier","vision-mode","sense-radius","failure-max","turtle-coloring-mode","failure-min","max-ticks","color-patches-by","num-investors","time-horizon","[step]","mean [wealth] of turtles","mean [failures] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"159","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","109031.67060736689","1.03","7102.832018785259","0.029282770433166006"
"165","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","9","24","133834.86238614537","0.73","7117.894107498332","0.028087539053993478"
"164","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","9","24","127743.56708931772","0.74","6890.248490337605","0.031060983797178067"
"148","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","138592.464800357","0.7","7107.440767960177","0.026817047233541374"
"163","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","9","24","129060.91587806368","0.75","7370.059800822172","0.028742533802195703"
"162","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","9","24","127530.08336904027","0.93","7335.734379593806","0.032001462746701535"
"170","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","9","24","109895.18790422108","1.12","7264.812210773041","0.034254583340474765"
"166","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","9","24","121815.5894565799","0.74","6636.104541850847","0.029145158974703086"
"167","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","9","24","123258.03281021347","1","7228.858448261154","0.034305047045599994"
"169","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","9","24","125525.81089882932","1.01","7286.618410288888","0.03570674536294943"
"168","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","9","24","133328.53022435578","0.75","6984.042763838364","0.029365892907709083"
"156","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","127044.78424639434","0.73","7139.216183524118","0.03117613034864275"
"171","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","9","24","135173.42718881034","0.73","7245.281695388389","0.028922581415720384"
"173","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","9","24","122529.48665917516","0.92","7066.994995323696","0.03021950379078953"
"176","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","9","24","122387.4181539672","0.92","7340.491509047509","0.03048640390517473"
"179","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","9","24","131719.14252552635","0.87","7341.859091332251","0.03228917493001401"
"178","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","9","24","130058.1638399289","0.75","7313.299282808137","0.030050948614616272"
"175","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","9","24","117578.18017777051","0.97","7088.481541945662","0.03336451954170736"
"181","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","10","24","120952.91046962634","0.95","6672.609604006179","0.03183340331311131"
"174","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","9","24","114348.6254031112","0.89","7453.883977508788","0.03031930604301006"
