"BehaviorSpace results (NetLogo 6.2.0)"
"BusinessInvestor.nlogo"
"vary-profit"
"10/07/2021 01:21:15:648 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"116","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","99809.14518831432","5595.959432166069","0.031848890369193736"
"140","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","107860.8215275831","5918.737817141104","0.03440630217393542"
"128","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","110202.8561981914","5984.402068548824","0.03261188330420192"
"129","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","94103.80174385566","5923.831795217186","0.030748548918134708"
"136","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","104907.10753843196","6216.196950946382","0.03851609249440642"
"139","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","105844.06355344482","5854.243874763786","0.033058761550665436"
"134","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","98673.03668535111","5896.887744516756","0.03369051223377001"
"144","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","109651.8349884839","6211.3458349643415","0.03461533230431479"
"149","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","121394.6589720136","6202.888976590241","0.03159809054469369"
"148","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","111280.60169634981","6093.382584039713","0.03446332510670286"
"145","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","110706.05318039148","6030.43901897468","0.032436500965496134"
"146","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","112935.92360319063","6237.8682451527775","0.0308586806094237"
"147","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","114137.40025780727","6043.740752508938","0.030372179982955258"
"151","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","115770.63837742654","6137.7298250526765","0.03242165466080511"
"141","25","neighbors","10","0.01","1","exp utility","100","0.85","0.1","wealth","24","105613.03141763715","6617.114695854684","0.03512062763913661"
