"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"BusinessInvestor.nlogo"
"vary-vision"
"10/07/2025 22:04:18:816 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth","stdev-wealth"
"13","0.1","red","radius","0.01","exp utility","100","1","25","9","53854.07987402824","24346.24900423935"
"4","0.1","red","radius","0.01","exp utility","100","0","25","13","51392.4722426412","38901.643476062054"
"8","0.1","red","radius","0.01","exp utility","100","0","25","11","41290.54087352187","29814.30303055497"
"1","0.1","red","radius","0.01","exp utility","100","0","25","9","37281.417154554416","26520.287919835646"
"6","0.1","red","radius","0.01","exp utility","100","0","25","13","49364.33417763366","35923.190375477236"
"5","0.1","red","radius","0.01","exp utility","100","0","25","16","63156.84371496594","46025.86682018057"
"10","0.1","red","radius","0.01","exp utility","100","0","25","13","52999.42966060115","39114.84718451946"
"3","0.1","red","radius","0.01","exp utility","100","0","25","9","34470.39838811708","25195.585099860516"
"9","0.1","red","radius","0.01","exp utility","100","0","25","9","36210.686439409976","23471.144628403224"
"8","0.1","red","radius","0.01","exp utility","100","0","25","12","43719.572672092625","33075.17559458844"
"2","0.1","red","radius","0.01","exp utility","100","0","25","10","45724.4509327515","29969.015735927023"
"1","0.1","red","radius","0.01","exp utility","100","0","25","10","41184.50501117045","29113.13374316408"
"12","0.1","red","radius","0.01","exp utility","100","1","25","7","43703.91524357666","18329.20715541926"
"14","0.1","red","radius","0.01","exp utility","100","1","25","6","36343.95497933225","17319.406995852056"
"7","0.1","red","radius","0.01","exp utility","100","0","25","10","36310.40159280023","28618.569151998065"
"4","0.1","red","radius","0.01","exp utility","100","0","25","14","55368.25654531087","40594.93350630688"
"5","0.1","red","radius","0.01","exp utility","100","0","25","17","64681.4424184056","48733.873471548715"
"10","0.1","red","radius","0.01","exp utility","100","0","25","14","56997.33059434366","42117.46126767271"
"6","0.1","red","radius","0.01","exp utility","100","0","25","14","50806.70496231933","38904.54387154809"
"11","0.1","red","radius","0.01","exp utility","100","1","25","7","43048.74950176763","18396.60488120203"
"3","0.1","red","radius","0.01","exp utility","100","0","25","10","35022.57487852338","27635.56306397735"
"9","0.1","red","radius","0.01","exp utility","100","0","25","10","39981.932992545524","25268.30479521258"
"7","0.1","red","radius","0.01","exp utility","100","0","25","11","40402.806968011864","31203.003652977583"
"8","0.1","red","radius","0.01","exp utility","100","0","25","13","46480.38914649421","34438.56489786633"
"1","0.1","red","radius","0.01","exp utility","100","0","25","11","44184.1364020239","32313.760488706048"
"2","0.1","red","radius","0.01","exp utility","100","0","25","11","47989.06489141276","33879.627505051874"
"13","0.1","red","radius","0.01","exp utility","100","1","25","10","58641.871934923634","27554.14312210348"
"15","0.1","red","radius","0.01","exp utility","100","1","25","6","37789.93818576104","13354.119808456622"
"4","0.1","red","radius","0.01","exp utility","100","0","25","15","57482.540419598336","43627.626611380845"
"6","0.1","red","radius","0.01","exp utility","100","0","25","15","53134.08517772725","42046.69638617672"
"5","0.1","red","radius","0.01","exp utility","100","0","25","18","66397.82030359941","50529.28435858666"
"10","0.1","red","radius","0.01","exp utility","100","0","25","15","62352.247330419064","44450.095755532086"
"3","0.1","red","radius","0.01","exp utility","100","0","25","11","39962.90130483802","29255.034760033876"
"8","0.1","red","radius","0.01","exp utility","100","0","25","14","48270.579222182605","35861.253308827094"
