"BehaviorSpace results (NetLogo 6.2.0)"
"BusinessInvestor.nlogo"
"vary-risk"
"10/07/2021 01:21:26:749 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"165","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","100802.01813889004","6985.282789907689","0.05507104585387203"
"166","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","91008.29564354954","6988.874011363193","0.054450644485757115"
"172","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","97163.9584688386","6984.829327082629","0.05209383759627053"
"173","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","96447.8883883333","7226.43544956523","0.06156077543429511"
"161","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","93041.99938716073","6819.182348490488","0.054968826225179915"
"168","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","95990.88960384291","6926.678453809394","0.05890562117812631"
"174","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","92341.02392151806","6507.818563471427","0.05180350965666015"
"178","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","92986.73174265235","6454.924110506187","0.05305524771535956"
"176","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","96001.88740331502","6806.123721503416","0.05595693217867712"
"177","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","106083.37713581436","7099.052118076639","0.05274015822412469"
"175","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","109792.78072741785","6977.715526604413","0.05049611759108534"
"180","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","101790.5128028409","7232.547394825523","0.05324778347918647"
"170","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","90564.64689917988","7246.673688713341","0.05621412721001031"
"183","25","neighbors","10","0.01","1.9","exp utility","100","1","0.1","wealth","24","90698.30361673502","6882.940317815973","0.058522593871749115"
"182","25","neighbors","10","0.01","1.9","exp utility","100","1","0.1","wealth","24","97746.36916375114","6759.931257083485","0.056348798450975186"
"181","25","neighbors","10","0.01","1.9","exp utility","100","1","0.1","wealth","24","109537.45667136186","6923.972733165325","0.05294148757278363"
"186","25","neighbors","10","0.01","1.9","exp utility","100","1","0.1","wealth","24","104548.6197714992","7054.047810681319","0.0573492447822645"
"185","25","neighbors","10","0.01","1.9","exp utility","100","1","0.1","wealth","24","91364.96890414272","6706.765609877396","0.060263692129429315"
"189","25","neighbors","10","0.01","1.9","exp utility","100","1","0.1","wealth","24","102143.13582075205","7022.990457497329","0.05713009378692928"
"184","25","neighbors","10","0.01","1.9","exp utility","100","1","0.1","wealth","24","87157.60156729631","6913.241063918029","0.05349004345567414"
"179","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","103993.34164611269","6538.120901252728","0.046733753546747206"
"188","25","neighbors","10","0.01","1.9","exp utility","100","1","0.1","wealth","24","97130.72495614005","6861.766837517639","0.05711521202508955"
"187","25","neighbors","10","0.01","1.9","exp utility","100","1","0.1","wealth","24","99448.2628196054","7085.130884464205","0.05665389236815392"
"190","25","neighbors","10","0.01","1.9","exp utility","100","1","0.1","wealth","24","92962.31698547138","6876.618206360301","0.056884157471322035"
"193","25","neighbors","10","0.01","1.9","exp utility","100","1","0.1","wealth","24","94282.84883799592","6937.201267666492","0.05428929182250609"
"192","25","neighbors","10","0.01","1.9","exp utility","100","1","0.1","wealth","24","101654.92779469297","6986.181246128104","0.05446361801798996"
"194","25","neighbors","10","0.01","1.9","exp utility","100","1","0.1","wealth","24","100260.06792880975","7062.476522287486","0.057714962206138344"
"191","25","neighbors","10","0.01","1.9","exp utility","100","1","0.1","wealth","24","83796.52074045636","6887.680512753268","0.05842785910127454"
"198","25","neighbors","10","0.01","1.9","exp utility","100","1","0.1","wealth","24","100425.92062628228","6717.602437563497","0.05279264820994636"
"200","25","neighbors","10","0.01","1.9","exp utility","100","1","0.1","wealth","24","99446.3211820134","6964.093935332112","0.05588130003973947"
"203","25","neighbors","10","0.01","2","exp utility","100","1","0.1","wealth","24","107561.98651251219","6975.085759732743","0.05357334375352882"
"201","25","neighbors","10","0.01","2","exp utility","100","1","0.1","wealth","24","101185.74704235092","6949.454356492306","0.05826049774690416"
"205","25","neighbors","10","0.01","2","exp utility","100","1","0.1","wealth","24","98924.72293489212","6972.549813159855","0.05304833124778412"
"202","25","neighbors","10","0.01","2","exp utility","100","1","0.1","wealth","24","87456.50959145692","6961.1705407352865","0.05777657756569661"
"210","25","neighbors","10","0.01","2","exp utility","100","1","0.1","wealth","24","88449.51772133088","6644.530742250186","0.06012112624350656"
"196","25","neighbors","10","0.01","1.9","exp utility","100","1","0.1","wealth","24","87699.30899402531","7281.868094705138","0.05821607147466072"
