"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"BusinessInvestor.nlogo"
"vary-vision-and-investors"
"10/07/2025 21:50:53:651 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth"
"205","0.1","red","radius","0.01","exp utility","10","6","25","24","182485.89150934602"
"207","0.1","red","radius","0.01","exp utility","10","6","25","24","199781.26888338936"
"203","0.1","red","radius","0.01","exp utility","10","6","25","24","119786.99865672637"
"208","0.1","red","radius","0.01","exp utility","10","6","25","24","188280.00398395135"
"201","0.1","red","radius","0.01","exp utility","10","6","25","24","176635.0722972106"
"202","0.1","red","radius","0.01","exp utility","10","6","25","24","143642.3326716093"
"206","0.1","red","radius","0.01","exp utility","10","6","25","24","167395.17641997075"
"214","0.1","red","radius","0.01","exp utility","10","7","25","24","205851.9562926683"
"209","0.1","red","radius","0.01","exp utility","10","6","25","24","177236.55666184257"
"204","0.1","red","radius","0.01","exp utility","10","6","25","24","165382.29926123383"
"212","0.1","red","radius","0.01","exp utility","10","7","25","24","169964.9326034825"
"200","0.1","red","radius","0.01","exp utility","10","6","25","24","175069.66894507335"
"213","0.1","red","radius","0.01","exp utility","10","7","25","24","194781.62405345234"
"215","0.1","red","radius","0.01","exp utility","10","7","25","24","210657.71385267045"
"210","0.1","red","radius","0.01","exp utility","10","6","25","24","155166.8552259031"
"211","0.1","red","radius","0.01","exp utility","10","7","25","24","200019.3503874328"
"218","0.1","red","radius","0.01","exp utility","10","7","25","24","191324.54176738596"
"216","0.1","red","radius","0.01","exp utility","10","7","25","24","121787.81304426263"
"217","0.1","red","radius","0.01","exp utility","10","7","25","24","188671.4790938304"
"219","0.1","red","radius","0.01","exp utility","10","7","25","24","220183.0115353185"
"220","0.1","red","radius","0.01","exp utility","10","7","25","24","151391.91144198872"
"222","0.1","red","radius","0.01","exp utility","10","7","25","24","195716.83292118472"
"221","0.1","red","radius","0.01","exp utility","10","7","25","24","201108.8142286448"
"229","0.1","red","radius","0.01","exp utility","10","7","25","24","138262.3713049605"
"228","0.1","red","radius","0.01","exp utility","10","7","25","24","159974.49602133207"
"226","0.1","red","radius","0.01","exp utility","10","7","25","24","186386.26756454995"
"224","0.1","red","radius","0.01","exp utility","10","7","25","24","188361.69961533792"
"227","0.1","red","radius","0.01","exp utility","10","7","25","24","214150.56571174538"
"225","0.1","red","radius","0.01","exp utility","10","7","25","24","149688.65255824878"
"230","0.1","red","radius","0.01","exp utility","10","7","25","24","160762.00207388256"
"223","0.1","red","radius","0.01","exp utility","10","7","25","24","178056.74958620177"
"232","0.1","red","radius","0.01","exp utility","10","7","25","24","201667.02471055507"
"231","0.1","red","radius","0.01","exp utility","10","7","25","24","191686.76038690325"
"234","0.1","red","radius","0.01","exp utility","10","7","25","24","189061.47649080772"
"233","0.1","red","radius","0.01","exp utility","10","7","25","24","204399.9290999623"
"235","0.1","red","radius","0.01","exp utility","10","7","25","24","178456.4797966931"
"236","0.1","red","radius","0.01","exp utility","10","7","25","24","172578.83510288448"
"239","0.1","red","radius","0.01","exp utility","10","7","25","24","194824.94888854426"
"240","0.1","red","radius","0.01","exp utility","10","7","25","24","144027.22147064324"
"237","0.1","red","radius","0.01","exp utility","10","7","25","24","189631.87777038143"
"238","0.1","red","radius","0.01","exp utility","10","7","25","24","165171.3891010344"
"242","0.1","red","radius","0.01","exp utility","10","8","25","24","210090.82288253697"
"244","0.1","red","radius","0.01","exp utility","10","8","25","24","173597.05828836176"
"247","0.1","red","radius","0.01","exp utility","10","8","25","24","106860.49754447704"
"245","0.1","red","radius","0.01","exp utility","10","8","25","24","178823.02436493072"
"241","0.1","red","radius","0.01","exp utility","10","8","25","24","181913.62487679347"
"246","0.1","red","radius","0.01","exp utility","10","8","25","24","162471.30200357366"
"243","0.1","red","radius","0.01","exp utility","10","8","25","24","195962.2060293728"
"249","0.1","red","radius","0.01","exp utility","10","8","25","24","163871.29392250392"
"250","0.1","red","radius","0.01","exp utility","10","8","25","24","193556.68831079378"
"251","0.1","red","radius","0.01","exp utility","10","8","25","24","188178.77599076732"
"252","0.1","red","radius","0.01","exp utility","10","8","25","24","189918.76917421617"
"253","0.1","red","radius","0.01","exp utility","10","8","25","24","164812.7369345004"
"254","0.1","red","radius","0.01","exp utility","10","8","25","24","209257.96081579206"
"255","0.1","red","radius","0.01","exp utility","10","8","25","24","201692.75472794255"
"248","0.1","red","radius","0.01","exp utility","10","8","25","24","164837.70686691295"
"257","0.1","red","radius","0.01","exp utility","10","8","25","24","191749.44359314887"
"256","0.1","red","radius","0.01","exp utility","10","8","25","24","192799.2567764028"
"260","0.1","red","radius","0.01","exp utility","10","8","25","24","186103.6975176847"
"258","0.1","red","radius","0.01","exp utility","10","8","25","24","201526.96064767588"
"262","0.1","red","radius","0.01","exp utility","10","8","25","24","197907.61342799745"
"259","0.1","red","radius","0.01","exp utility","10","8","25","24","175546.26825047628"
"261","0.1","red","radius","0.01","exp utility","10","8","25","24","146736.253285721"
"263","0.1","red","radius","0.01","exp utility","10","8","25","24","187609.98411092663"
