"BehaviorSpace results (NetLogo 5.3)"
"Telemarketer_mergers.nlogo"
"experiment"
"02/25/2016 04:55:10:684 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-num-marketers","growth-param","[step]","count turtles"
"4","50","1000","130","1"
"3","50","1000","121","1"
"2","50","1000","124","1"
"1","50","1000","97","1"
"4","50","1000","131","1"
"3","50","1000","122","1"
"2","50","1000","125","1"
"4","50","1000","132","1"
"1","50","1000","98","1"
"3","50","1000","123","1"
"2","50","1000","126","1"
"4","50","1000","133","1"
"1","50","1000","99","1"
"3","50","1000","124","1"
"2","50","1000","127","1"
"4","50","1000","134","1"
"1","50","1000","100","1"
"2","50","1000","128","1"
"3","50","1000","125","1"
"4","50","1000","135","1"
"1","50","1000","101","1"
"2","50","1000","129","1"
"3","50","1000","126","1"
"4","50","1000","136","1"
"1","50","1000","102","1"
"2","50","1000","130","1"
"3","50","1000","127","1"
"4","50","1000","137","1"
"1","50","1000","103","1"
"2","50","1000","131","1"
"3","50","1000","128","1"
"4","50","1000","138","1"
"1","50","1000","104","1"
"2","50","1000","132","1"
"3","50","1000","129","1"
"4","50","1000","139","1"
"2","50","1000","133","1"
"3","50","1000","130","1"
"1","50","1000","105","1"
"4","50","1000","140","1"
"2","50","1000","134","1"
"3","50","1000","131","1"
"1","50","1000","106","1"
"4","50","1000","141","1"
"2","50","1000","135","1"
"3","50","1000","132","1"
"1","50","1000","107","1"
"4","50","1000","142","1"
"2","50","1000","136","1"
"3","50","1000","133","1"
"1","50","1000","108","1"
"4","50","1000","143","1"
"2","50","1000","137","1"
"3","50","1000","134","1"
"4","50","1000","144","1"
"1","50","1000","109","1"
"3","50","1000","135","1"
"2","50","1000","138","1"
"4","50","1000","145","1"
"1","50","1000","110","1"
"3","50","1000","136","1"
"4","50","1000","146","1"
"2","50","1000","139","1"
"1","50","1000","111","1"
"3","50","1000","137","1"
"4","50","1000","147","1"
"2","50","1000","140","1"
"1","50","1000","112","1"
"4","50","1000","148","1"
"3","50","1000","138","1"
"2","50","1000","141","1"
"1","50","1000","113","1"
"3","50","1000","139","1"
"4","50","1000","149","1"
"2","50","1000","142","1"
"1","50","1000","114","1"
"4","50","1000","150","1"
"3","50","1000","140","1"
"2","50","1000","143","1"
"1","50","1000","115","1"
"4","50","1000","151","1"
"3","50","1000","141","1"
"2","50","1000","144","1"
"1","50","1000","116","1"
"4","50","1000","152","1"
"3","50","1000","142","1"
"2","50","1000","145","1"
"1","50","1000","117","1"
"4","50","1000","153","1"
"3","50","1000","143","1"
"2","50","1000","146","1"
"1","50","1000","118","1"
"4","50","1000","154","1"
"3","50","1000","144","1"
"2","50","1000","147","1"
"1","50","1000","119","1"
"2","50","1000","148","1"
"1","50","1000","120","1"
"3","50","1000","145","1"
"4","50","1000","155","1"
"2","50","1000","149","1"
"3","50","1000","146","1"
"4","50","1000","156","1"
"2","50","1000","150","1"
"1","50","1000","121","1"
"3","50","1000","147","1"
"2","50","1000","151","1"
"4","50","1000","157","1"
"1","50","1000","122","1"
"3","50","1000","148","1"
"2","50","1000","152","1"
"4","50","1000","158","1"
"1","50","1000","123","1"
"3","50","1000","149","1"
"4","50","1000","159","1"
"4","50","1000","160","1"
"1","50","1000","124","1"
