"BehaviorSpace results (NetLogo 5.3.1)"
"telemarketer_mergers_class_14.nlogo"
"vary_initial_telemarketers"
"02/23/2017 01:22:28:800 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-num-marketers","growth-param","[step]","count turtles"
"1","50","1000","39","50"
"9","50","1000","44","47"
"14","50","1000","48","44"
"17","50","1000","36","50"
"18","50","1000","43","48"
"5","50","1000","46","46"
"7","50","1000","43","50"
"10","50","1000","43","50"
"11","50","1000","35","50"
"4","50","1000","43","48"
"15","50","1000","44","47"
"6","50","1000","36","50"
"13","50","1000","42","48"
"12","50","1000","41","49"
"8","50","1000","46","44"
"2","50","1000","40","50"
"16","50","1000","36","50"
"19","50","1000","46","44"
"3","50","1000","41","50"
"14","50","1000","49","43"
"9","50","1000","45","44"
"1","50","1000","40","50"
"5","50","1000","47","46"
"20","50","1000","40","50"
"4","50","1000","44","47"
"10","50","1000","44","49"
"18","50","1000","44","48"
"6","50","1000","37","50"
"12","50","1000","42","49"
"13","50","1000","43","48"
"15","50","1000","45","45"
"7","50","1000","44","49"
"8","50","1000","47","44"
"2","50","1000","41","50"
"17","50","1000","37","50"
"16","50","1000","37","50"
"11","50","1000","36","50"
"19","50","1000","47","43"
"6","50","1000","38","50"
"1","50","1000","41","47"
"9","50","1000","46","42"
"10","50","1000","45","47"
"5","50","1000","48","45"
"3","50","1000","42","49"
"14","50","1000","50","43"
"4","50","1000","45","47"
"12","50","1000","43","48"
"18","50","1000","45","46"
"13","50","1000","44","48"
"8","50","1000","48","41"
"7","50","1000","45","48"
"16","50","1000","38","50"
"19","50","1000","48","43"
"10","50","1000","46","47"
"9","50","1000","47","42"
"15","50","1000","46","45"
"2","50","1000","42","50"
"1","50","1000","42","47"
"4","50","1000","46","46"
"14","50","1000","51","42"
"17","50","1000","38","50"
"20","50","1000","41","49"
"5","50","1000","49","43"
"13","50","1000","45","44"
"8","50","1000","49","36"
"18","50","1000","46","43"
"11","50","1000","37","50"
"7","50","1000","46","47"
"6","50","1000","39","50"
"1","50","1000","43","47"
"9","50","1000","48","42"
"19","50","1000","49","41"
"4","50","1000","47","45"
"14","50","1000","52","41"
"3","50","1000","43","49"
"17","50","1000","39","50"
"13","50","1000","46","42"
"12","50","1000","44","47"
"15","50","1000","47","45"
"5","50","1000","50","40"
"10","50","1000","47","46"
"8","50","1000","50","34"
"3","50","1000","44","47"
"20","50","1000","42","49"
"2","50","1000","43","48"
"1","50","1000","44","47"
"18","50","1000","47","43"
"14","50","1000","53","41"
"9","50","1000","49","41"
"19","50","1000","50","37"
"4","50","1000","48","43"
"16","50","1000","39","50"
"5","50","1000","51","37"
"8","50","1000","51","32"
"7","50","1000","47","46"
"11","50","1000","38","50"
"12","50","1000","45","46"
"2","50","1000","44","48"
"13","50","1000","47","40"
"15","50","1000","48","43"
"10","50","1000","48","43"
"20","50","1000","43","49"
"16","50","1000","40","50"
"18","50","1000","48","43"
"9","50","1000","50","39"
"14","50","1000","54","40"
"19","50","1000","51","37"
"6","50","1000","40","50"
"1","50","1000","45","46"
"17","50","1000","40","50"
"5","50","1000","52","36"
"3","50","1000","45","47"
"15","50","1000","49","43"
"4","50","1000","49","39"
"7","50","1000","48","45"
"9","50","1000","51","37"
"13","50","1000","48","40"
"19","50","1000","52","37"
"12","50","1000","46","46"
"8","50","1000","52","32"
"14","50","1000","55","35"
"5","50","1000","53","36"
"1","50","1000","46","46"
"6","50","1000","41","50"
"2","50","1000","45","47"
"20","50","1000","44","48"
"18","50","1000","49","38"
"10","50","1000","49","41"
"13","50","1000","49","40"
"7","50","1000","49","44"
"12","50","1000","47","44"
"19","50","1000","53","36"
"16","50","1000","41","50"
"11","50","1000","39","50"
"4","50","1000","50","36"
"9","50","1000","52","37"
"8","50","1000","53","31"
"3","50","1000","46","45"
"14","50","1000","56","33"
"5","50","1000","54","34"
"1","50","1000","47","46"
"15","50","1000","50","42"
"17","50","1000","41","50"
"10","50","1000","50","41"
"20","50","1000","45","47"
"4","50","1000","51","36"
"13","50","1000","50","39"
"18","50","1000","50","37"
"8","50","1000","54","31"
"3","50","1000","47","45"
"7","50","1000","50","44"
"14","50","1000","57","33"
"16","50","1000","42","50"
"6","50","1000","42","50"
"19","50","1000","54","36"
"9","50","1000","53","35"
"1","50","1000","48","46"
"17","50","1000","42","50"
"5","50","1000","55","33"
"2","50","1000","46","46"
"12","50","1000","48","42"
"10","50","1000","51","41"
"15","50","1000","51","38"
"4","50","1000","52","34"
"11","50","1000","40","50"
"8","50","1000","55","30"
"18","50","1000","51","36"
"20","50","1000","46","44"
"14","50","1000","58","33"
"7","50","1000","51","44"
"5","50","1000","56","33"
"3","50","1000","48","43"
"17","50","1000","43","50"
"13","50","1000","51","38"
"1","50","1000","49","41"
"19","50","1000","55","36"
"9","50","1000","54","34"
"2","50","1000","47","44"
"15","50","1000","52","36"
"8","50","1000","56","29"
"6","50","1000","43","50"
"10","50","1000","52","39"
"12","50","1000","49","40"
"16","50","1000","43","48"
"18","50","1000","52","35"
"13","50","1000","52","36"
"14","50","1000","59","33"
"5","50","1000","57","32"
"20","50","1000","47","41"
"7","50","1000","52","43"
"1","50","1000","50","39"
"9","50","1000","55","33"
"11","50","1000","41","50"
"8","50","1000","57","27"
"19","50","1000","56","35"
"4","50","1000","53","32"
"10","50","1000","53","38"
"5","50","1000","58","31"
