"BehaviorSpace results (NetLogo 6.0.2)"
"BusinessInvestor.nlogo"
"vary-time-horizon"
"02/20/2018 04:06:18:929 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","profit-multiplier","risk-multiplier","vision-mode","sense-radius","failure-max","turtle-coloring-mode","failure-min","max-ticks","color-patches-by","num-investors","time-horizon","[step]","mean [wealth] of turtles","mean [failures] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"84","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","130753.96142105927","0.86","7284.918671978859","0.030082351703395443"
"79","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","130637.54776115026","0.82","7356.203163606101","0.0298764257122969"
"88","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","124368.24894475493","0.92","7358.187536226678","0.03154413820778202"
"86","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","136162.5662504052","0.93","7441.065216524205","0.03140375559991429"
"80","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","125152.62163692954","0.89","7608.637554793353","0.031925093872111045"
"95","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","139329.229320814","0.8","7337.046458825662","0.030657330573029967"
"90","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","131383.65198447392","0.84","7328.72941692647","0.03389676351066255"
"89","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","138530.77464194363","0.96","7671.4929474192","0.031832394569251125"
"91","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","110472.13321143253","1.15","7240.177810114707","0.0372999707554518"
"99","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","139473.035633336","0.78","7528.740544902588","0.03264405022822769"
"98","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","129410.77306217857","0.96","7616.486480312178","0.02987800373030725"
"92","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","133367.71437085827","0.78","7059.961287323016","0.031314544398568914"
"97","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","121650.61419887426","1.12","7447.526294680971","0.034773186879000925"
"96","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","127913.59617752064","0.98","7554.3611833765335","0.03574345007661106"
"94","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","135385.23984704676","0.9","7676.899314137374","0.03299935183273634"
"100","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","123488.64588848547","0.91","7158.965012286364","0.030966895603345465"
"106","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","122501.46366232494","0.82","7119.515945863174","0.03317690515929216"
"109","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","134591.3512822785","0.86","7214.259993332692","0.03226932559025062"
"110","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","133145.48368700824","0.85","7635.009653442197","0.03163365100747328"
"114","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","121116.47500266794","0.89","7410.5168446062235","0.032776815430970115"
"112","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","122408.51778403982","1.01","7242.252711005308","0.03333119546621396"
"102","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","125042.01886164313","0.9","7255.627290294215","0.03271343405059106"
"101","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","143438.77406966477","0.72","7540.993812319796","0.03233707887577934"
"103","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","131173.30223459186","0.81","7319.8991477131985","0.03274495823561868"
"108","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","131967.38778208272","0.87","7409.423965071568","0.03028599938391718"
"107","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","117518.38151220186","1.11","7466.068229485735","0.03518746715953121"
"116","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","126555.52963715997","1","7420.630428333047","0.032689632785165915"
"115","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","6","24","125555.16511099404","0.81","7239.322042719033","0.029316781898651893"
