"","run","profit.multiplier","risk.multiplier","vision.mode","sense.radius","failure.max","turtle.coloring.mode","failure.min","max.ticks","color.patches.by","num.investors","time.horizon","tick","wealth","failures","profit","risk"
"99",99,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,139473.035633336,0.78,7528.74054490259,0.0326440502282277
"100",100,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,123488.645888485,0.91,7158.96501228636,0.0309668956033455
"101",101,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,143438.774069665,0.72,7540.9938123198,0.0323370788757793
"102",102,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,125042.018861643,0.9,7255.62729029421,0.0327134340505911
"103",103,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,131173.302234592,0.81,7319.8991477132,0.0327449582356187
"104",104,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,142079.649316599,0.69,7120.40035590322,0.0293201432775421
"105",105,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,134339.514969533,0.92,7069.52084983434,0.0328828680271496
"106",106,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,122501.463662325,0.82,7119.51594586317,0.0331769051592922
"107",107,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,117518.381512202,1.11,7466.06822948574,0.0351874671595312
"108",108,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,131967.387782083,0.87,7409.42396507157,0.0302859993839172
"109",109,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,134591.351282279,0.86,7214.25999333269,0.0322693255902506
"110",110,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,133145.483687008,0.85,7635.0096534422,0.0316336510074733
"111",111,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,6,24,127415.743177258,0.91,7149.18149195229,0.0338512595084156
